Original_Row_Index,autor,numero_episodio,titulo_episodio,cita,orden_cita,temporada
28887,"{Y'know, sometimes I think the script writers throw in a line like that to try to
trip me up. But it won't work. I'll always have the last laugh! <manical_laugh.wav>
Okay, so maybe I'm a little deluded, it's probably just my spellchecker. But, I must admit
I did get Mesozoic and Paleozoic on the first attempt. Yay me! Anyhoo",21,La pelota,"{Ya sabes, a veces creo que los guionistas escriben una línea así para tratar de hacerme tropezar. Pero no funcionará. ¡Siempre seré el último en reír! <manical_laugh.wav> Bien, tal vez estoy un poco engañado, probablemente sea solo mi corrector ortográfico. Pero debo admitir que obtuve el Mesozoico y el Paleozoico en el primer intento. ¡Sí, yo! De todos modos}",106,5
28889,"{Oh, all right! Geez, I can't have any fun!",21,La pelota,"{¡Oh, está bien! ¡Caray, no puedo divertirme!}",108,5
29237,"{There's another continuity error here. Before Monica says I love you, Chandler's
holding the vests so that you couldn't see the collar, you could see all three, and they
were folding nicely. After she says the line and the camera cuts back to Chandler, you can
only see two out of the three, you can see the collar of the top one, and it looks like it
was folded sloppily, unlike before. Hey, you notice things while spending this much time
on this!",22,La gran oportunidad de Joey,"{Hay otro error de continuidad aquí. Antes de que Mónica dijera te amo, Chandler estaba sosteniendo los chalecos de modo que no pudieras ver el cuello, podías ver los tres y estaban doblados muy bien. Después de que ella dice la línea y la cámara vuelve a ver a Chandler, solo puedes ver dos de los tres, puedes ver el cuello del de arriba y parece que estaba doblado descuidadamente, a diferencia de antes. ¡Oye, notas cosas mientras pasas tanto tiempo en esto!}",145,5
29974,{Transcibers note,1,Las Vegas,"En caso de que no lo sepas, Courteney Cox se casó con David Arquette durante su pausa y cambió su nombre a Courteney Cox Arquette. Pero David era un chico ocupado durante la temporada baja porque no sólo se casaba él sino también todos los demás. Porque todos figuran como Jennifer Aniston Arquette, Lisa Kudrow Arquette, en un giro interesante Matt LeBlanc Arquette, Matthew Perry Arquette, David Schwimmer Arquette e incluso los creadores del programa son ahora David Crane Arquette y Marta Kauffman Arquette. Sólo me pregunto cuáles son las nuevas disposiciones para dormir}",25,6
30096,{Note,1,Las Vegas,"¿Alguien más quiere darle una bofetada a Ross ahora mismo? Levanten las manos. Está bien, déjalos antes de que apestes a la persona que está a tu lado.}",148,6
30231,{Transcibers note,2,Ross abraza a Rachel,"En caso de que te lo estés preguntando, y sé que lo estás. Todos sus nombres han vuelto a la normalidad. Solo en una fuente un poco más pequeña de lo habitual para permitir que Courteney Cox Arquette quepa en una línea y no sea más pequeña que el resto de sus nombres. Ahora, sigamos con el programa}",34,6
30305,{Transcibers note,2,Ross abraza a Rachel,"Terminaré ese para aquellos de ustedes que no saben de qué están hablando. Donde las toallas son de ella y de ella y de él, ¡la compañía de los tres también! Sí, ese es el tema principal de Threes Company.}",108,6
33460,{Transcribers Note,15,"Eso podría haber sido, Parte I y II","Este es un episodio especial de una hora de duración. Lo que significa que la primera parte de este episodio es el episodio 615. La segunda parte de este episodio es el episodio 616. Dado que los episodios 615 y 616 se combinan en un solo archivo, es por eso que no hay ningún episodio 616 en el índice de la temporada 6 y los números saltan del episodio 615 al 617.}",1,6
33730,{Transcribers Note,15,"Eso podría haber sido, Parte I y II","Aquí es donde comienza la Parte II, lo que significa que ahora es el episodio 616.}",275,6
33998,"It only takes two heart attacks to finally make you see
 One of them wont do it, but the second one will set you free
 Tell all your hate and anger, its time to say good-bye
 And that is just what I will do, soon as those bastards I work for die!
 La, la-la-la, la-la-la-la, la-la-la, la-la-la",15,"Eso podría haber sido, Parte I y II","Solo se necesitan dos ataques al corazón para finalmente hacerte ver Uno de ellos no lo logrará, pero el segundo te liberará Dile todo tu odio y enojo, es hora de decir adiós ¡Y eso es justo lo que haré, tan pronto como esos bastardos para los que trabajo mueran! La, la-la-la, la-la-la-la, la-la-la, la-la-la",545,6
34847,"All you want is a dingle,
 What you envy's a schwang,
 A thing through which you can tinkle,
 Or play with, or simply let hang..",20,Mac y C.H.E.E.S.E.,"Todo lo que quieres es un dingle, Lo que envidias es un schwang, Una cosa a través de la cual puedas tintinear, O jugar, o simplemente dejar colgar...",37,6
35928,{Transcribers Note,24,"La propuesta, Partes I y II","Elizabeth tiene dos amigas en la habitación con ella que se mencionan en los créditos, pero no en esta escena. Así que voy a adivinar ya que no importa de una forma u otra. (La última parte es desalentar los correos electrónicos, ¿a quién le importa si lo hice bien o no?)}",90,6
36028,{Transcribers Note,24,"La propuesta, Partes I y II","Para leer más sobre la historia anterior, consulte En el que Joey se muda.}",191,6
36063,{Transcribers Note,24,"La propuesta, Partes I y II",Por favor corrija mi francés aquí.},226,6
36433,"""First time I met Chandler, I thought he was gay.
 But here I am singing on his wedding day!",1,El trueno de Mónica,"""La primera vez que conocí a Chandler pensé que era gay. ¡Pero aquí estoy cantando el día de su boda!""",44,7
36608,"""Whenever I get married, guess who wont get to sing?
 Somebody named Geller! And somebody else named Bing!",1,El trueno de Mónica,"""Cada vez que me caso, ¿adivinen quién no podrá cantar? ¡Alguien llamado Geller! ¡Y alguien más llamado Bing!""",220,7
36651,"""We thought Phoebe would leave, but she just stayed and stayed.
 Thats right, Im here all night, and Chandler will never get l",1,El trueno de Mónica,"""Pensamos que Phoebe se iría, pero ella simplemente se quedó y se quedó. Así es, estoy aquí toda la noche y Chandler nunca lo conseguirá"".",264,7
39959,{Transcribers Note,14,Todos cumplen treinta años,No hubo escena de créditos en este episodio.},255,7
41932,{Transcribers Note,22,El papá de Chandler,"Pone la llave en el contacto, que está en el lado izquierdo del volante. ¿Alguien sabe por qué es eso? Es una tradición que queda de la historia de las carreras de Porsche. La carrera de resistencia más importante del mundo son las 24 Horas de LeMans. Que está en Francia y dura 24 horas seguidas desde el mediodía del sábado hasta la oscuridad de la noche y termina al mediodía del domingo. En los años 60, LeMans tenía un comienzo único en el que los pilotos comenzaban la carrera fuera del auto y al otro lado de la pista. Al comienzo de la carrera, los pilotos cruzaban la pista corriendo, se subían al coche, se abrochaban el cinturón, arrancaban el coche y se marchaban. Porsche quería reducir el tiempo necesario. Dado que todos los automóviles hasta ese momento tenían los interruptores de encendido en el lado derecho del volante, los conductores tenían que usar su mano derecha para agarrar los cinturones de seguridad, poner el automóvil en marcha y arrancarlo. La mano izquierda del conductor no hizo nada. Porsche para ahorrar unos segundos en una carrera de 24 horas; Movió los interruptores de encendido hacia el lado izquierdo del volante para que el conductor pudiera arrancar el automóvil con la mano izquierda mientras agarraba los cinturones de seguridad con la mano derecha. Es por eso que todos los automóviles Porsche fabricados desde entonces tienen el encendido en el lado izquierdo del volante.}",51,7
42662,{Transcribers Note,23,La boda de Chandler y Mónica,No hubo avance para este episodio. Nos vemos en la temporada 8; que comenzará este otoño.},515,7
42664,"This is a special out takes episode. The cast and Conan are sitting around the set of
Central Perk, talking about the stuff weve never seen.",24,tomas descartadasEspecial de amigos: cosas que nunca has visto,"Este es un episodio especial. El elenco y Conan están sentados alrededor del set de Central Perk, hablando sobre cosas que nunca hemos visto.",1,7
47516,"All you want is a dingle,
 What you envy's a schwang,
 A thing through which you can tinkle,
 Or play with, or simply let hang..",19,Entrevista de Joey,"Todo lo que quieres es un dingle, Lo que envidias es un schwang, Una cosa a través de la cual puedas tintinear, O jugar, o simplemente dejar colgar...",34,8
48957,{Transcribers Note,23,Raquel tiene un bebé,"Como ocurre con todos los momentos de suspenso, no hubo escena de créditos. Habrá una novena y última temporada de Friends que comenzará en septiembre. Nos vemos entonces, que tengáis un buen verano a todos.}",532,8
49555,"Chandler. Well my boss and I worked out a deal where I only
 have to be in Tulsa four days a week, so the other three I can be here with
 you",3,El pediatra,"Velero. Bueno, mi jefe y yo llegamos a un acuerdo en el que solo tengo que estar en Tulsa cuatro días a la semana, así los otros tres puedo estar aquí contigo.",54,9
49852," (Hayley laughs and goes into the kitchen thinking it's a joke, Joey doesn't
 see what's so funny about it",4,Los tiburones,"(Hayley se ríe y va a la cocina pensando que es una broma, Joey no ve qué tiene de gracioso)",70,9
49853," >>> Joey's Subconscious
 So this is going pretty good. dinner was nice, got a lot in common. (Sees a
 magazine) Victoria's secret huh we even like the same books. (Walks over
 to a painting on the wall) Oh now there's a scary painting. wait a minute
 I think I've been scared by that painting before. (Looks around) You know
 what this whole place look familiar I have definitely been in this apartment
 I know I've seen this weird plant before (it's a cactus and he touch's it)
 AWCH! It did that the last time. Oh my god, I've gone out with this girl
 before yeah we had sex on this couch and then on that chair and no. no we
 didn't do it hear which is weird because it seems like a perfectly good place",4,Los tiburones,">>> El subconsciente de Joey Así que esto va bastante bien. La cena estuvo agradable, tuvimos mucho en común. (Ve una revista) Victoria's Secret, eh, incluso nos gustan los mismos libros. (Se acerca a un cuadro en la pared) Oh, ahora hay un cuadro aterrador. Espera un momento, creo que esa pintura me ha asustado antes. (Mira a su alrededor) Sabes, todo este lugar me resulta familiar. Definitivamente he estado en este apartamento. Sé que he visto esta planta extraña antes (es un cactus y él lo toca) ¡AWCH! Lo hizo la última vez. Dios mío, ya salí con esta chica antes, sí, tuvimos sexo en este sofá y luego en esa silla y no. No, no lo hicimos, lo cual es extraño porque parece un lugar perfectamente bueno.",71,9
50802,<Joey's eyes become large and he stands up,8,La otra hermana de Rachel,<Los ojos de Joey se agrandan y se levanta>,12,9
50807,<Joey looks> Oh! Stupid long sleeves.,8,La otra hermana de Rachel,<Joey mira> ¡Oh! Estúpidas mangas largas.,17,9
50812,<Chandler nods and his eyes get big like he's saying 'what the hell',8,La otra hermana de Rachel,<Chandler asiente y sus ojos se agrandan como si estuviera diciendo 'qué diablos'>,22,9
50814,Ross and Rachel are putting baby stuff together like they're going to be going somewhere.,8,La otra hermana de Rachel,<Ross y Rachel están juntando cosas para bebés como si fueran a ir a alguna parte.>,25,9
50823,<Ross goes into Rachel's room,8,La otra hermana de Rachel,<Ross entra en la habitación de Rachel>,34,9
50829,<Amy grabs her arms,8,La otra hermana de Rachel,<Amy la agarra de los brazos>,40,9
50837,"<Amy bending over fiddling with her purse when Emma cries and she hears
 Emma",8,La otra hermana de Rachel,<Amy se inclina jugueteando con su bolso cuando Emma llora y escucha a Emma>,48,9
50843,<Ross comes out of the bedrooms,8,La otra hermana de Rachel,<Ross sale de los dormitorios>,54,9
50853,<Joey is walking around looking worried. ,8,La otra hermana de Rachel,<Joey camina por ahí con cara de preocupación. >,64,9
50880,<Amy's cell phone rings>,8,La otra hermana de Rachel,<Suena el teléfono celular de Amy>,91,9
50896,<Ross and Rachel go in the kitchen,8,La otra hermana de Rachel,<Ross y Rachel entran a la cocina>,107,9
50902,<Rachel grabs Ross' hand for support and starts to cry a little,8,La otra hermana de Rachel,<Rachel toma la mano de Ross para apoyarse y comienza a llorar un poco>,113,9
50912,<Joey turns away and Chandler reassuringly pats him on the back,8,La otra hermana de Rachel,<Joey se da vuelta y Chandler le da una palmada tranquilizadora en la espalda>,123,9
50915,<they hug and kiss on check>,8,La otra hermana de Rachel,<se abrazan y besan al comprobar>,126,9
50921,"<Monica and Amy turn away and walk into the living room towards the secret
 closet",8,La otra hermana de Rachel,<Mónica y Amy se dan vuelta y caminan hacia la sala de estar hacia el armario secreto>,132,9
50926,<Joey realizes what she's doing,8,La otra hermana de Rachel,<Joey se da cuenta de lo que está haciendo>,137,9
50933,<Joey nods in agreement,8,La otra hermana de Rachel,<Joey asiente con la cabeza>,144,9
50963,"<Amy gets pissed and starts cutting food on the fancy plate very harshly,
 you can hear the silveware scraping the fancy plate>",8,La otra hermana de Rachel,"<Amy se enoja y comienza a cortar la comida en el plato elegante con mucha dureza, se puede escuchar los cubiertos raspando el plato elegante>",174,9
50965,"<Monica holds a turkey leg up in the air over the plate trying to cut meat
 off with a knife",8,La otra hermana de Rachel,<Mónica sostiene una pierna de pavo en el aire sobre el plato tratando de cortar la carne con un cuchillo>,176,9
50969,<Ross and Rachel pause and ponder this>,8,La otra hermana de Rachel,<Ross y Rachel hacen una pausa y reflexionan sobre esto>,180,9
50975,"<Chandler gives a look that says ""Yeah!""",8,La otra hermana de Rachel,"<Chandler da una mirada que dice ""¡Sí!"">",186,9
50977,"<Everyone is looking around and at Joey with looks of 'what?' on their
 faces",8,La otra hermana de Rachel,<Todos miran a su alrededor y a Joey con miradas de '¿qué?' en sus caras>,188,9
50981,<Joey looks to Phoebe and she nods in agreement,8,La otra hermana de Rachel,<Joey mira a Phoebe y ella asiente con la cabeza>,193,9
51051,Scene,8,La otra hermana de Rachel,"<todos respiran profundamente, en estado de shock>",264,9
51058,Scene,8,La otra hermana de Rachel,"<Ross asiente con la cabeza y la señala, en señal de que sí>",271,9
51063,Scene,8,La otra hermana de Rachel,<Amy empuja a Rachel y Monica se vuelve loca y corre alrededor de la mesa>,276,9
51069,Scene,8,La otra hermana de Rachel,<Rachel y Amy 'peleando'... En realidad solo están tratando de abofetearse y siguen golpeándose las manos>,282,9
51071,Scene,8,La otra hermana de Rachel,<Vuelven a pelear y luego la cosa realmente avanza>,284,9
51074,Scene,8,La otra hermana de Rachel,<Amy comienza a escupir en la mano de Rachel y Rachel dice ew y la empuja>,287,9
51076,Scene,8,La otra hermana de Rachel,"<Amy corre hacia Rachel y Rachel extiende su brazo, su mano sobre la cabeza de Amy y Amy comienza a intentar golpearla pero falla, Rachel se está moviendo hacia atrás hacia la mesa cuando su mano golpea el suelo con el único plato que queda en la mesa>",289,9
51077,Scene,8,La otra hermana de Rachel,<Todos se sorprenden y Mónica se desmaya y Ross la atrapa>,290,9
51088,Scene,8,La otra hermana de Rachel,<Ross reflexiona sobre eso y se aleja>,301,9
51099,Scene,8,La otra hermana de Rachel,<se abrazan y Rachel tiene una expresión de disgusto en su rostro y luego Emma comienza a llorar>,312,9
57381,Monica,9,La madre biológica,"¡Dios mío, va a FUNCIONAR! ¡Vamos a hacer que funcione! ¡Yo seré mamá y (para Chandler) tú serás papá! Muy bien, nos vemos, tontos. Voy a conseguirme... ¡UN BEBÉ! {ella se va)",20,10
