autor,numero_episodio,titulo_episodio,cita,orden_cita,temporada
Chandler,1,Mónica consigue un compañero de cuarto,¡Y sólo quiero un millón de dólares! (Extiende su mano esperanzado.),41,1
Monica,1,Mónica consigue un compañero de cuarto,¿¡Raquel?!,42,1
Rachel,1,Mónica consigue un compañero de cuarto,"Oh Dios Mónica hola! ¡Gracias a Dios! Fui a tu edificio y no estabas allí y entonces este tipo con un gran martillo dijo que podrías estar aquí y lo estás, ¡lo estás!",43,1
Waitress,1,Mónica consigue un compañero de cuarto,¿Puedo traerte un poco de café?,44,1
Monica,1,Mónica consigue un compañero de cuarto,"(señalando a Rachel) Descafé. (a todos) Bien, todos, esta es Rachel, otra sobreviviente de Lincoln High. (a Rachel) Estos son todos, estos son Chandler, Phoebe, Joey y... ¿recuerdas a mi hermano Ross?",45,1
Rachel,1,Mónica consigue un compañero de cuarto,"Hola, claro!",46,1
Ross,1,Mónica consigue un compañero de cuarto,Hola.,47,1
Monica,1,Mónica consigue un compañero de cuarto,¿Quieres decírnoslo ahora o estamos esperando a cuatro damas de honor mojadas?,48,1
Rachel,1,Mónica consigue un compañero de cuarto,"Oh Dios... bueno, empezó aproximadamente media hora antes de la boda. Estaba en la habitación donde guardábamos todos los regalos y estaba mirando esta salsera. Esta salsera Lamauge realmente hermosa. Cuando de repente- (a la camarera que le trajo el café) ¿Sweet 'n' Lo?- ¡Me di cuenta de que estaba más excitada por esta salsera que por Barry! Y luego me asusté mucho, y fue entonces cuando me di cuenta: cuánto se parece Barry al Sr. Potato Head. Ya sabes, quiero decir, siempre supe que me resultaba familiar, pero... De todos modos, tenía que salir de allí y comencé a preguntarme: '¿Por qué estoy haciendo esto y para quién estoy haciendo esto?'. (a Mónica) De todos modos no sabía adónde ir, y sé que tú y yo nos hemos distanciado un poco, pero eres la única persona que conozco que vive aquí en la ciudad.",49,1
Monica,1,Mónica consigue un compañero de cuarto,Que no fue invitado a la boda.,50,1
Rachel,1,Mónica consigue un compañero de cuarto,"Ooh, esperaba que eso no fuera un problema... Escena: Apartamento de Mónica, todos están allí viendo una telenovela española en la televisión y están tratando de descubrir qué está pasando.]",51,1
Monica,1,Mónica consigue un compañero de cuarto,Ahora supongo que él le compró el órgano de tubos grande y ella realmente no está contenta con eso.,52,1
Chandler,1,Mónica consigue un compañero de cuarto,(imitando a los personajes) ¿Ensalada de atún o huevo? ¡Decidir!,53,1
Ross,1,Mónica consigue un compañero de cuarto,(con voz profunda) Tomaré lo que sea que Christine esté tomando.,54,1
Rachel,1,Mónica consigue un compañero de cuarto,"(al teléfono) Papá, yo simplemente... ¡No puedo casarme con él! Lo lamento. Simplemente no lo amo. Bueno, ¡a mí me importa!",55,1
Phoebe,1,Mónica consigue un compañero de cuarto,"Si me suelto el pelo, se me caerá la cabeza.",56,1
Chandler,1,Mónica consigue un compañero de cuarto,"(re TV) Ooh, ella no debería usar esos pantalones.",57,1
Joey,1,Mónica consigue un compañero de cuarto,Yo digo que la empujes escaleras abajo.,58,1
"Phoebe, Ross, Chandler y Joey",1,Mónica consigue un compañero de cuarto,¡Empujala escaleras abajo! ¡Empujala escaleras abajo! ¡Empujala escaleras abajo!,59,1
Rachel,1,Mónica consigue un compañero de cuarto,"¡Vamos papá, escúchame! Es como si toda mi vida todos me hubieran dicho: '¡Eres un zapato! ¡Eres un zapato, eres un zapato, eres un zapato!'. Y hoy me detuve y dije: '¿Qué pasa si no quiero ser un zapato? ¿Qué pasa si quiero ser un bolso, sabes? ¡O un-o un sombrero! No, no digo que quiera que me compres un sombrero, digo que soy un ha- ¡Es una metáfora, papá!",60,1
Ross,1,Mónica consigue un compañero de cuarto,Puedes ver dónde tendría problemas.,61,1
Rachel,1,Mónica consigue un compañero de cuarto,"Mira papá, es mi vida. Bueno, tal vez me quede aquí con Mónica.",62,1
Monica,1,Mónica consigue un compañero de cuarto,"Bueno, supongo que hemos establecido quién se quedará aquí con Mónica...",63,1
Rachel,1,Mónica consigue un compañero de cuarto,"Bueno, tal vez esa sea mi decisión. Bueno, tal vez no necesito tu dinero. ¡¡Esperar!! ¡¡Espera, dije tal vez!!",64,1
Monica,1,Mónica consigue un compañero de cuarto,"Sólo respira, respira... eso es todo. Sólo intenta pensar en cosas agradables y tranquilas...",65,1
Phoebe,1,Mónica consigue un compañero de cuarto,"(canta) Gotas de lluvia sobre rosas, conejos y gatitos (Rachel y Mónica se giran para mirarla). Campanillas y campanillas y... algo con guantes... La la la la... algo y fideos con hilo. Estos son algunos...",66,1
Rachel,1,Mónica consigue un compañero de cuarto,Estoy mejor ahora.,67,1
Phoebe,1,Mónica consigue un compañero de cuarto,(sonríe y camina hacia la cocina y les dice a Chandler y Joey.) ¡Yo ayudé!,68,1
Monica,1,Mónica consigue un compañero de cuarto,"Vale, mira, esto probablemente sea lo mejor, ¿sabes? Independencia. Tomando el control de tu vida. Todo el asunto del 'sombrero'.",69,1
Joey,1,Mónica consigue un compañero de cuarto,"(consolándola) Y oye, si necesitas cualquier cosa, siempre puedes acudir a Joey. Chandler y yo vivimos al otro lado del pasillo. Y él está fuera mucho.",70,1
Monica,1,Mónica consigue un compañero de cuarto,"¡Joey, deja de coquetear con ella! ¡Es el día de su boda!",71,1
Joey,1,Mónica consigue un compañero de cuarto,"¿Qué, como si hubiera una regla o algo así?",72,1
Chandler,1,Mónica consigue un compañero de cuarto,"Por favor, no vuelvas a hacer eso, es un sonido horrible.",73,1
Paul,1,Mónica consigue un compañero de cuarto,"(por el intercomunicador) Soy, eh, es Paul.",74,1
Monica,1,Mónica consigue un compañero de cuarto,"Oh Dios, ¿son las 6:30? ¡Entra!",75,1
Joey,1,Mónica consigue un compañero de cuarto,¿Quién es Pablo?,76,1
Ross,1,Mónica consigue un compañero de cuarto,"¿Paul el chico del vino, Paul?",77,1
Monica,1,Mónica consigue un compañero de cuarto,"Tal vez. Joey: Espera. ¿Tu 'cita no real' de esta noche es con Paul, el chico del vino?",78,1
Ross,1,Mónica consigue un compañero de cuarto,¿Finalmente te invitó a salir?,79,1
Monica,1,Mónica consigue un compañero de cuarto,¡Sí!,80,1
Chandler,1,Mónica consigue un compañero de cuarto,"Oh, este es un momento de Dear Diary.",81,1
Monica,1,Mónica consigue un compañero de cuarto,"Rach, espera, puedo cancelar...",82,1
Rachel,1,Mónica consigue un compañero de cuarto,"Por favor, no, vete, ¡eso estaría bien!",83,1
Monica,1,Mónica consigue un compañero de cuarto,"(a Ross) ¿Estás, estás bien? Quiero decir, ¿quieres que me quede?",84,1
Ross,1,Mónica consigue un compañero de cuarto,(voz ahogada) Eso sería bueno...,85,1
Monica,1,Mónica consigue un compañero de cuarto,(horrorizado) ¿En serio?,86,1
Ross,1,Mónica consigue un compañero de cuarto,"(voz normal) ¡No, continúa! ¡Es Paul, el chico del vino!",87,1
Phoebe,1,Mónica consigue un compañero de cuarto,"¿Qué significa eso? ¿Lo vende, lo bebe o simplemente se queja mucho? (Chandler no lo sabe.)",88,1
Monica,1,Mónica consigue un compañero de cuarto,"Hola, entra! Paul, este es... (Están todos alineados junto a la puerta).... todos, todos, este es Paul.",89,1
All,1,Mónica consigue un compañero de cuarto,¡Ey! ¡Pablo! ¡Hola! ¡El chico del vino! ¡Ey!,90,1
Chandler,1,Mónica consigue un compañero de cuarto,"Lo siento, no entendí tu nombre. Pablo, ¿lo fue?",91,1
Monica,1,Mónica consigue un compañero de cuarto,"Está bien, umm-umm, ya vuelvo, sólo tengo que irme, vamos, ah...",92,1
Ross,1,Mónica consigue un compañero de cuarto,¿Un deambular?,93,1
Monica,1,Mónica consigue un compañero de cuarto,"¡Cambiar! Está bien, siéntate. (Muestra a Paul entrando) Dos segundos.",94,1
Phoebe,1,Mónica consigue un compañero de cuarto,"Ooh, acabo de sacar cuatro pestañas. Eso no puede ser bueno.",95,1
Joey,1,Mónica consigue un compañero de cuarto,"¡Oye, Pablo!",96,1
Paul,1,Mónica consigue un compañero de cuarto,¿Sí?,97,1
Joey,1,Mónica consigue un compañero de cuarto,"Aquí tienes un pequeño consejo, a ella le gusta mucho que le frotes el cuello en el mismo lugar una y otra vez hasta que empiece a ponerse un poco rojo.",98,1
Monica,1,Mónica consigue un compañero de cuarto,"(gritando desde el dormitorio) ¡Cállate, Joey!",99,1
Ross,1,Mónica consigue un compañero de cuarto,"Entonces Rachel, ¿qué estás... qué estás haciendo esta noche?",100,1
Rachel,1,Mónica consigue un compañero de cuarto,"Bueno, se suponía que iba a ir a Aruba en mi luna de miel, ¡así que nada!",101,1
Ross,1,Mónica consigue un compañero de cuarto,"Cierto, ni siquiera vas a tener tu luna de miel, Dios... No, no, aunque, Aruba, en esta época del año... habla de tus- (piensa) -grandes lagartos... De todos modos, si no tienes ganas de estar solo esta noche, Joey y Chandler vendrán a ayudarme a armar mis muebles nuevos.",102,1
Chandler,1,Mónica consigue un compañero de cuarto,"(inexpresivo) Sí, y estamos muy entusiasmados con ello.",103,1
Rachel,1,Mónica consigue un compañero de cuarto,"Bueno, en realidad gracias, pero creo que simplemente pasaré el rato aquí esta noche. Ha sido un día un poco largo.",104,1
Ross,1,Mónica consigue un compañero de cuarto,"Vale, claro.",105,1
Joey,1,Mónica consigue un compañero de cuarto,"Hola Phoebs, ¿quieres ayudar?",106,1
Phoebe,1,Mónica consigue un compañero de cuarto,"Oh, desearía poder, pero no quiero.",107,1
Phoebe,1,Mónica consigue un compañero de cuarto,"(cantando) El amor es dulce como la lluvia de verano, el amor es una maravillosa obra de arte, pero tu amor, oh tu amor, tu amor... es como una paloma gigante... cagando en mi corazón. La-la-la-la-la- (un chico le da cambio y a ese chico) Gracias. (canta) La-la-la-la... ¡ohhh!",109,1
Ross,1,Mónica consigue un compañero de cuarto,"(en cuclillas y leyendo las instrucciones) Se supone que debo colocar un soporte en los elementos laterales, usando un montón de estos pequeños gusanos. No tengo ningún paréntesis, no veo caprichos de ningún tipo y no puedo sentir mis piernas.",110,1
Joey,1,Mónica consigue un compañero de cuarto,Estoy pensando que tenemos una estantería aquí.,111,1
Chandler,1,Mónica consigue un compañero de cuarto,Es algo hermoso.,112,1
Joey,1,Mónica consigue un compañero de cuarto,(recogiendo una parte sobrante) ¿Qué es esto?,113,1
Chandler,1,Mónica consigue un compañero de cuarto,Tendría que decir que es un soporte en forma de 'L'.,114,1
Joey,1,Mónica consigue un compañero de cuarto,¿Cuál va adónde?,115,1
Chandler,1,Mónica consigue un compañero de cuarto,No tengo ni idea.,116,1
Joey,1,Mónica consigue un compañero de cuarto,¡Terminamos con la estantería!,117,1
Chandler,1,Mónica consigue un compañero de cuarto,¡Todo terminado!,118,1
Ross,1,Mónica consigue un compañero de cuarto,"(agarrando una lata de cerveza y oliendo) Esta era la cerveza favorita de Carol. Ella siempre lo bebía de la lata, debería haberlo sabido.",119,1
Joey,1,Mónica consigue un compañero de cuarto,"Oye, oye, oye, si vas a empezar con esas cosas, nos vamos de aquí.",120,1
Chandler,1,Mónica consigue un compañero de cuarto,"Sí, por favor no arruines toda esta diversión.",121,1
Joey,1,Mónica consigue un compañero de cuarto,"Ross, déjame hacerte una pregunta. Ella consiguió los muebles, el estéreo, el buen televisor... ¿qué compraste tú?",122,1
Ross,1,Mónica consigue un compañero de cuarto,Ustedes chicos.,123,1
Chandler,1,Mónica consigue un compañero de cuarto,"Oh, Dios.",124,1
Joey,1,Mónica consigue un compañero de cuarto,Estás jodido.,125,1
Chandler,1,Mónica consigue un compañero de cuarto,¡Ay dios mío!,126,1
Monica,1,Mónica consigue un compañero de cuarto,¡Ay dios mío!,127,1
Paul,1,Mónica consigue un compañero de cuarto,"Lo sé, lo sé, soy un idiota. Supongo que debería haberme dado cuenta cuando empezó a ir al dentista cuatro y cinco veces por semana. Quiero decir, ¿qué tan limpios pueden llegar a ser los dientes?",128,1
Monica,1,Mónica consigue un compañero de cuarto,"Mi hermano está pasando por eso ahora mismo, es un desastre. ¿Cómo lo superaste?",129,1
Paul,1,Mónica consigue un compañero de cuarto,"Bueno, podrías intentar romper accidentalmente algo valioso de ella, dice ella-",130,1
Monica,1,Mónica consigue un compañero de cuarto,-¿pierna?,131,1
Paul,1,Mónica consigue un compañero de cuarto,(riendo) ¡Esa es una manera! Yo... fui por el reloj.,132,1
Monica,1,Mónica consigue un compañero de cuarto,¿De verdad le rompiste el reloj? ¡Guau! Lo peor que he hecho en mi vida fue destrozarme con la toalla de baño favorita de mi novio.,133,1
Paul,1,Mónica consigue un compañero de cuarto,"Oh, mantente alejado de ti.",134,1
Monica,1,Mónica consigue un compañero de cuarto,"Así es. Escena: Apartamento de Mónica, Rachel está hablando por teléfono y paseando.]",135,1
Rachel,1,Mónica consigue un compañero de cuarto,"Barry, lo siento... lo siento mucho... Sé que probablemente piensas que todo esto se debe a lo que dije el otro día acerca de que hacías el amor con los calcetines puestos, pero no lo es... no lo es, se trata de mí, y yo... (Deja de hablar y marca el teléfono.) Hola, la máquina me cortó de nuevo... de todos modos... mira, mira, sé que una chica va a tener una suerte increíble de convertirse en la Sra. Barry Finkel, pero no soy yo, no soy yo. Y no es que tenga idea de quién soy ahora, pero tú también tienes que darme una oportunidad... (La máquina la interrumpe de nuevo y vuelve a marcar.)",136,1
Ross,1,Mónica consigue un compañero de cuarto,¡Estoy divorciada! ¡Solo tengo 26 años y estoy divorciada!,137,1
Joey,1,Mónica consigue un compañero de cuarto,¡Callarse la boca!,138,1
Chandler,1,Mónica consigue un compañero de cuarto,¡Debes parar! (Chandler golpea lo que está trabajando con un martillo y se derrumba.),139,1
Ross,1,Mónica consigue un compañero de cuarto,Eso sólo me llevó una hora.,140,1
Chandler,1,Mónica consigue un compañero de cuarto,"Mira, Ross, tienes que entender que entre nosotros no hemos tenido una relación que haya durado más que un Mento. Tú, sin embargo, has tenido el amor de una mujer durante cuatro años. Cuatro años de cercanía y de compartir al final de los cuales ella te arrancó el corazón, ¡y por eso no lo hacemos! ¡No creo que ese fuera mi punto!",141,1
Ross,1,Mónica consigue un compañero de cuarto,"¿Sabes cuál es la parte más aterradora? ¿Y si sólo hubiera una mujer para todos? Quiero decir, ¿qué pasa si consigues una mujer y eso es todo? Desafortunadamente en mi caso, solo había una mujer- para ella...",142,1
Joey,1,Mónica consigue un compañero de cuarto,"¿De qué estás hablando? ¿'Una mujer'? Eso es como decir que sólo hay un sabor de helado para ti. Déjame decirte algo, Ross. Hay muchos sabores por ahí. ¡Están Rocky Road, Cookie Dough y Bing! Cereza Vainilla. ¡Puedes conseguirlos con Jimmies, nueces o crema batida! ¡Esto es lo mejor que te ha pasado! Te casaste, tenías como, ¿cuánto, ocho? ¡Bienvenidos de nuevo al mundo! ¡Coge una cuchara!",143,1
Ross,1,Mónica consigue un compañero de cuarto,Sinceramente no sé si tengo hambre o estoy cachondo.,144,1
Chandler,1,Mónica consigue un compañero de cuarto,"¡No te metas en mi congelador! Escena: Un restaurante, Mónica y Paul todavía están comiendo.]",145,1
Paul,1,Mónica consigue un compañero de cuarto,"Desde que ella me abandonó, yo, eh...",146,1
Monica,1,Mónica consigue un compañero de cuarto,¿Qué?... ¿Qué? ¿Quieres deletrearlo con fideos?,147,1
Paul,1,Mónica consigue un compañero de cuarto,"No, es más bien una especie de revelación de una quinta cita.",148,1
Monica,1,Mónica consigue un compañero de cuarto,"Oh, ¿entonces habrá una quinta cita?",149,1
Paul,1,Mónica consigue un compañero de cuarto,¿No lo hay?,150,1
Monica,1,Mónica consigue un compañero de cuarto,"Sí... sí, creo que sí. -¿Qué ibas a decir?",151,1
Paul,1,Mónica consigue un compañero de cuarto,"Bueno, siempre... desde que ella me dejó, no he podido actuar. (Mónica toma un sorbo de su bebida.) ...Sexualmente.",152,1
Monica,1,Mónica consigue un compañero de cuarto,"(escupiendo su bebida en shock) Oh Dios, oh Dios, lo siento... lo siento mucho...",153,1
Paul,1,Mónica consigue un compañero de cuarto,Está bien...,154,1
Monica,1,Mónica consigue un compañero de cuarto,Sé que probablemente no es lo que necesitas en este momento que te escupan. Mmm... ¿cuánto tiempo?,155,1
Paul,1,Mónica consigue un compañero de cuarto,Dos años.,156,1
Monica,1,Mónica consigue un compañero de cuarto,¡Guau! ¡Me alegro de que le hayas destrozado el reloj!,157,1
Paul,1,Mónica consigue un compañero de cuarto,¿Entonces todavía crees que... podrías querer esa quinta cita?,158,1
Monica,1,Mónica consigue un compañero de cuarto,"(pausa)...Sí. Sí, lo hago.",159,1
Sacerdote en la televisión,1,Mónica consigue un compañero de cuarto,"Estamos reunidos hoy aquí para unirnos a Joanne Louise Cunningham y Charles, Chachi-Chachi-Chachi, Arcola en el vínculo del santo matrimonio.",160,1
Rachel,1,Mónica consigue un compañero de cuarto,Oh... mira... ¡pero Joanne amaba a Chachi! ¡Esa es la diferencia!,161,1
Ross,1,Mónica consigue un compañero de cuarto,"(desdeñoso) Coge una cuchara. ¿Sabes cuánto tiempo ha pasado desde que agarré una cuchara? ¿Las palabras ""Billy, no seas un héroe"" significan algo para ti?",162,1
Joey,1,Mónica consigue un compañero de cuarto,"¡Gran historia! Pero, uh, me tengo que ir, tengo una cita con Andrea--Angela--Andrea... Oh hombre, (mira a Chandler)",163,1
Chandler,1,Mónica consigue un compañero de cuarto,"Ángela es la que grita, Andrea tiene gatos.",164,1
Joey,1,Mónica consigue un compañero de cuarto,Bien. Gracias. Es junio. Me voy de aquí. (Sale.),165,1
Ross,1,Mónica consigue un compañero de cuarto,"Ya sabes, aquí está la cuestión. Incluso si pudiera reunirme lo suficiente para invitar a salir a una mujer, ¿a quién voy a invitar? (Mira por la ventana.)",166,1
Rachel,1,Mónica consigue un compañero de cuarto,"¿No es esto asombroso? Quiero decir, nunca antes había hecho café en toda mi vida.",168,1
Chandler,1,Mónica consigue un compañero de cuarto,Eso es asombroso.,169,1
Joey,1,Mónica consigue un compañero de cuarto,Felicidades.,170,1
Rachel,1,Mónica consigue un compañero de cuarto,"Ya sabes, me imagino que si puedo hacer café, no hay nada que no pueda hacer.",171,1
Chandler,1,Mónica consigue un compañero de cuarto,"Si puedo invadir Polonia, no hay nada que no pueda hacer.",172,1
Joey,1,Mónica consigue un compañero de cuarto,"Escucha, mientras estás en racha, si sientes que tienes que preparar una tortilla occidental o algo así... (Joey y Chandler prueban el café, hacen una mueca y lo vierten en una maceta.) Aunque en realidad no tengo tanta hambre...",173,1
Monica,1,Mónica consigue un compañero de cuarto,"(entrando, para sí misma) Oh, bien, Lenny y Squigy están aquí.",174,1
All,1,Mónica consigue un compañero de cuarto,Mañana. Buen día.,175,1
Paul,1,Mónica consigue un compañero de cuarto,(entrando desde la habitación de Mónica) Buenos días.,176,1
Joey,1,Mónica consigue un compañero de cuarto,"Buenos días, Pablo.",177,1
Rachel,1,Mónica consigue un compañero de cuarto,Hola pablo.,178,1
Chandler,1,Mónica consigue un compañero de cuarto,"Hola pablo, ¿verdad?",179,1
Paul,1,Mónica consigue un compañero de cuarto,¡Gracias! ¡Muchas gracias!,180,1
Monica,1,Mónica consigue un compañero de cuarto,¡Detener!,181,1
Paul,1,Mónica consigue un compañero de cuarto,"No, te digo que anoche fue como umm, todos mis cumpleaños, ambas graduaciones, además de la escena de la construcción del granero en Witness.",182,1
Monica,1,Mónica consigue un compañero de cuarto,Hablaremos más tarde.,183,1
Paul,1,Mónica consigue un compañero de cuarto,Sí. (Se besan) Gracias. (Sale),184,1
Joey,1,Mónica consigue un compañero de cuarto,¿Esa no fue una cita real? ¿Qué diablos haces en una cita real?,185,1
Monica,1,Mónica consigue un compañero de cuarto,Cállate y vuelve a poner mi mesa.,186,1
All,1,Mónica consigue un compañero de cuarto,¡Está bien! (Lo hacen.),187,1
Chandler,1,Mónica consigue un compañero de cuarto,"Muy bien, niños, tengo que ponerme a trabajar. Si no ingreso esos números,... no hay mucha diferencia...",188,1
Rachel,1,Mónica consigue un compañero de cuarto,"Entonces, ¿todos ustedes tienen trabajo?",189,1
Monica,1,Mónica consigue un compañero de cuarto,"Sí, todos tenemos trabajo. Mira, así es como compramos cosas.",190,1
Joey,1,Mónica consigue un compañero de cuarto,"Sí, soy actor.",191,1
Rachel,1,Mónica consigue un compañero de cuarto,¡Guau! ¿Te habría visto en algo?,192,1
Joey,1,Mónica consigue un compañero de cuarto,Dudo. Trabajo principalmente regional.,193,1
Monica,1,Mónica consigue un compañero de cuarto,"Oh, espera, espera, a menos que hayas visto la producción de Pinocho de las reposiciones, en el pequeño teatro del parque.",194,1
Joey,1,Mónica consigue un compañero de cuarto,"Mira, fue un trabajo, ¿vale?",195,1
Chandler,1,Mónica consigue un compañero de cuarto,"""Mira, Gippetto, soy un chico muy vivo"".",196,1
Joey,1,Mónica consigue un compañero de cuarto,No aceptaré este abuso. (Camina hacia la puerta y la abre para irse.),197,1
Chandler,1,Mónica consigue un compañero de cuarto,"Tienes razón, lo siento. (Empieza a cantar y baila fuera de la puerta.) ""Una vez fui un niño de madera, un niño pequeño de madera...""",198,1
Joey,1,Mónica consigue un compañero de cuarto,Ambos deberían saber que es hombre muerto. ¿Chandler? (Empieza después de Chandler.),199,1
Monica,1,Mónica consigue un compañero de cuarto,"Entonces, ¿cómo estás hoy? ¿Dormiste bien? ¿Hablar con Barry? No puedo dejar de sonreír.",200,1
Rachel,1,Mónica consigue un compañero de cuarto,Puedo ver eso. Parece que hubieras dormido con una percha en la boca.,201,1
Monica,1,Mónica consigue un compañero de cuarto,"Lo sé, es tan, tan... ¿Te acuerdas de Tony DeMarco y de ti?",202,1
Rachel,1,Mónica consigue un compañero de cuarto,Oh sí.,203,1
Monica,1,Mónica consigue un compañero de cuarto,"Bueno, es así. Con sentimientos.",204,1
Rachel,1,Mónica consigue un compañero de cuarto,"Oh, vaya. ¿Estás en problemas?",205,1
Monica,1,Mónica consigue un compañero de cuarto,¡A lo grande!,206,1
Rachel,1,Mónica consigue un compañero de cuarto,¿Quieres un vestido de novia? Apenas usado.,207,1
Monica,1,Mónica consigue un compañero de cuarto,"Creo que nos estamos adelantando un poco aquí. Bueno. Bueno. Simplemente voy a levantarme, ir a trabajar y no pensar en él en todo el día. O simplemente me levantaré e iré a trabajar.",208,1
Rachel,1,Mónica consigue un compañero de cuarto,"¡Oh, mira, deséame suerte!",209,1
Monica,1,Mónica consigue un compañero de cuarto,¿Para qué?,210,1
Rachel,1,Mónica consigue un compañero de cuarto,Voy a buscar una de esas cosas de trabajo (Piensa).,211,1
Frannie,1,Mónica consigue un compañero de cuarto,¡Hola Mónica!,212,1
Monica,1,Mónica consigue un compañero de cuarto,"Hola Frannie, ¡bienvenida de nuevo! ¿Cómo estuvo Florida?",213,1
Frannie,1,Mónica consigue un compañero de cuarto,"Tuviste sexo, ¿no?",214,1
Monica,1,Mónica consigue un compañero de cuarto,¿Cómo haces eso?,215,1
Frannie,1,Mónica consigue un compañero de cuarto,"¡Oh, te odio, estoy empujando a mi tía Roz por Parrot Jungle y tú estás teniendo sexo! ¿Entonces? ¿OMS?",216,1
