temporada,episodio,guionista,rol
6,16,David Crane,Guionista
6,16,Marta Kauffman,Guionista
6,18,Seth Kurland,Guionista
6,20,Doty Abrams,Guionista
6,23,Ted Cohen,Guionista
6,23,Andrew Reich,Guionista
6,24,Shana Goldberg-Meehan,Guionista
6,24,Scott Silveri,Guionista
6,24,Andrew Reich,Guionista
6,24,Ted Cohen,Guionista
6,25,Shana Goldberg-Meehan,Guionista
6,25,Scott Silveri,Guionista
6,25,Andrew Reich,Guionista
6,25,Ted Cohen,Guionista
7,2,Andrew Reich,Guionista
7,2,Ted Cohen,Guionista
7,3,Sherry Bilsing,Guionista
7,3,Ellen Plummer,Guionista
7,4,Brian Boyle,Guionista
7,6,Brian Buckner,Guionista
7,6,Sebastian Jones,Guionista
7,7,Scott Silveri,Guionista
7,8,Patty Lin,Guionista
7,9,Wil Calhoun,Guionista
7,10,Gregory S. Malins,Guionista
7,11,Shana Goldberg-Meehan,Guionista
7,12,Zachary Rosenblatt,Guionista
7,19,Andrew Reich,Guionista
7,19,Ted Cohen,Guionista
7,20,Scott Silveri,Guionista
7,20,Shana Goldberg-Meehan,Guionista
7,21,Doty Abrams,Guionista
7,23,Gregory S. Malins,Guionista
7,23,Marta Kauffman,Guionista
7,23,David Crane,Guionista
7,24,Gregory S. Malins,Guionista
7,24,Marta Kauffman,Guionista
7,24,David Crane,Guionista
8,1,David Crane,Guionista
8,1,Marta Kauffman,Guionista
8,2,Dana Klein Borkow,Guionista
8,3,Sherry Bilsing,Guionista
8,3,Ellen Plummer,Guionista
8,4,Scott Silveri,Guionista
8,5,Brian Buckner,Guionista
8,5,Sebastian Jones,Guionista
8,6,Mark Kunerth,Guionista
8,7,R. Lee Fleming Jr.,Guionista
8,8,Andrew Reich,Guionista
8,8,Ted Cohen,Guionista
8,9,Shana Goldberg-Meehan,Guionista
8,11,Robert Carlock,Guionista
8,12,Sherry Bilsing-Graham,Guionista
8,12,Ellen Plummer,Guionista
8,13,Vanessa Mc,Guionista
8,13,Carthy,Guionista
8,14,Brian Buckner,Guionista
8,14,Sebastian Jones,Guionista
8,15,Dana Klein Borkow,Guionista
8,16,Andrew Reich,Guionista
8,16,Ted Cohen,Guionista
8,19,Doty Abrams,Guionista
8,20,Sherry Bilsing-Graham,Guionista
8,20,Ellen Plummer,Guionista
8,22,Shana Goldberg-Meehan,Guionista
8,23,Scott Silveri,Guionista
8,23,Marta Kauffman,Guionista
8,23,David Crane,Guionista
8,24,Scott Silveri,Guionista
8,24,Marta Kauffman,Guionista
8,24,David Crane,Guionista
9,1,Sherry Bilsing-Graham,Guionista
9,1,Ellen Plummer,Guionista
9,2,Dana Klein Borkow,Guionista
9,3,Brian Buckner,Guionista
9,3,Sebastian Jones,Guionista
9,4,Andrew Reich,Guionista
9,4,Ted Cohen,Guionista
9,5,Scott Silveri,Guionista
9,6,David Crane,Guionista
9,6,Marta Kauffman,Guionista
9,7,Robert Carlock,Guionista
9,8,Shana Goldberg-Meehan,Guionista
9,9,Mark Kunerth,Guionista
9,10,Doty Abrams,Guionista
9,14,Sherry Bilsing-Graham,Guionista
9,14,Ellen Plummer,Guionista
9,15,Peter Tibbals,Guionista
9,16,Mark Kunerth,Guionista
9,22,Andrew Reich,Guionista
9,22,Ted Cohen,Guionista
9,23,Shana Goldberg-Meehan,Guionista
9,23,Scott Silveri,Guionista
9,23,Marta Kauffman,Guionista
9,23,David Crane,Guionista
9,24,Shana Goldberg-Meehan,Guionista
9,24,Scott Silveri,Guionista
9,24,Marta Kauffman,Guionista
9,24,David Crane,Guionista
10,1,Andrew Reich,Guionista
10,1,Ted Cohen,Guionista
10,2,Sherry Bilsing-Graham,Guionista
10,2,Ellen Plummer,Guionista
10,3,Brian Buckner,Guionista
10,4,Robert Carlock,Guionista
10,5,Dana Klein Borkow,Guionista
10,6,Sebastian Jones,Guionista
10,7,Mark Kunerth,Guionista
10,8,Shana Goldberg-Meehan,Guionista
10,9,Scott Silveri,Guionista
10,10,Doty Abrams,Guionista
10,11,David Crane,Guionista
10,11,Marta Kauffman,Guionista
10,12,Robert Carlock,Guionista
10,12,Dana Klein Borkow,Guionista
10,13,Sherry Bilsing-Graham,Guionista
10,13,Ellen Plummer,Guionista
10,16,Andrew Reich,Guionista
10,16,Ted Cohen,Guionista
10,17,Marta Kauffman,Guionista
10,17,David Crane,Guionista
10,18,Marta Kauffman,Guionista
10,18,David Crane,Guionista
