temporada,episodio,titulo,director,fecha_estreno,audiencia_millones,nota_imdb
2,8,El de la lista,Mary Kay Place,16/11/1995,32.9,8.5
2,9,El del padre de Phoebe,Kevin S. Bright,14/12/1995,27.8,8.0
2,10,El de Russ,Thomas Schlamme,04/01/1996,32.2,8.0
2,11,El de la boda lesbiana,Thomas Schlamme,18/01/1996,31.6,8.1
2,12,El de después de la Superbowl: Parte 1,Michael Lembeck,28/01/1996,52.9,8.6
2,13,El de después de la Superbowl: Parte 2,Michael Lembeck,28/01/1996,52.9,8.8
2,14,El del vídeo de la promoción,James Burrows,01/02/1996,33.6,9.4
2,15,En el que Ross y Rachel... ya sabes,Michael Lembeck,08/02/1996,32.9,8.9
2,16,En el que Joey se muda,Michael Lembeck,15/02/1996,31.1,8.6
2,17,En el que Eddie se muda,Michael Lembeck,22/02/1996,30.2,8.3
2,18,En el que el Dr. Ramoray muere,Michael Lembeck,21/03/1996,30.1,8.5
2,19,En el que Eddie no se quiere ir,Michael Lembeck,28/03/1996,31.2,8.6
2,20,En el que muere el viejo Yeller,Michael Lembeck,04/04/1996,27.4,8.2
2,21,El de los matones,Michael Lembeck,25/04/1996,24.7,8.2
2,22,El de las dos fiestas,Michael Lembeck,02/05/1996,25.5,9.0
2,23,El de la varicela,Michael Lembeck,09/05/1996,26.1,8.1
2,24,El de la boda de Barry y Mindy,Michael Lembeck,16/05/1996,29.0,8.2
3,1,El de la fantasía de la princesa Leia,Gail Mancuso,19/09/1996,26.8,8.4
3,2,En el que nadie está listo,Gail Mancuso,26/09/1996,26.7,9.0
3,3,El de la mermelada,Kevin S. Bright,03/10/1996,25.2,8.1
3,4,El del túnel metafórico,Steve Zuckerman,10/10/1996,26.1,8.1
3,5,El de Frank Jr.,Steve Zuckerman,17/10/1996,23.3,8.1
3,6,El del flashback,Peter Bonerz,31/10/1996,23.3,9.1
3,7,El de la cama de coche de carreras,Gail Mancuso,07/11/1996,27.4,8.3
3,8,El del artefacto gigante para pinchar,Gail Mancuso,14/11/1996,28.7,8.4
3,9,El del fútbol americano,Kevin S. Bright,21/11/1996,29.3,9.0
3,10,En el que Rachel dimite,Terry Hughes,12/12/1996,25.1,8.1
3,11,En el que Chandler no recuerda qué hermana,Terry Hughes,09/01/1997,29.8,8.6
3,12,El de todos los celos,Robby Benson,16/01/1997,29.6,8.2
3,13,En el que Monica y Richard son solo amigos,Robby Benson,30/01/1997,28.0,8.2
3,14,El de la ex compañera de Phoebe,Robby Benson,06/02/1997,28.9,7.9
3,15,En el que Ross y Rachel se toman un descanso,James Burrows,13/02/1997,27.3,8.6
3,16,El de la mañana siguiente,James Burrows,20/02/1997,28.3,9.1
3,17,El de sin el viaje de esquí,Sam Simon,06/03/1997,25.8,8.3
3,18,El de la cinta de hipnosis,Robby Benson,13/03/1997,28.1,8.4
3,19,El de la camiseta diminuta,Terry Hughes,27/03/1997,23.7,8.2
3,20,El de la casa de muñecas,Terry Hughes,10/04/1997,24.4,8.1
3,21,El del pollito y el pato,Michael Lembeck,17/04/1997,23.2,8.7
3,22,El del gritón,Peter Bonerz,24/04/1997,22.6,8.3
3,23,El de la cosa de Ross,Shelley Jensen,01/05/1997,24.2,8.1
3,24,El del campeón de lucha definitiva,Robby Benson,08/05/1997,23.1,8.1
3,25,El de la playa,Pamela Fryman,15/05/1997,28.8,8.8
4,1,El de la medusa,Shelley Jensen,25/09/1997,29.4,9.1
4,2,El del gato,Shelley Jensen,02/10/1997,25.5,8.1
4,3,El de las esposas,Peter Bonerz,09/10/1997,24.0,8.5
4,4,El del baile de salón,Gail Mancuso,16/10/1997,24.3,8.2
4,5,El de la nueva novia de Joey,Gail Mancuso,30/10/1997,24.4,8.4
4,6,El de la chica sucia,Shelley Jensen,06/11/1997,25.7,8.5
4,7,En el que Chandler cruza la línea,Kevin S. Bright,13/11/1997,26.4,8.7
4,8,El de Chandler en una caja,Peter Bonerz,20/11/1997,26.8,9.1
4,9,En el que van de fiesta,Peter Bonerz,11/12/1997,23.9,7.9
4,10,El de la chica de Poughkeepsie,Gary Halvorson,18/12/1997,23.2,8.1
4,11,El del útero de Phoebe,David Steinberg,08/01/1998,23.7,8.5
4,12,El de los embriones,Kevin S. Bright,15/01/1998,27.1,9.5
4,13,El del flechazo de Rachel,Dana DeVally Piazza,29/01/1998,25.3,8.2
4,14,El del día sucio de Joey,Peter Bonerz,05/02/1998,25.1,8.2
4,15,El de todo el rugby,James Burrows,26/02/1998,24.4,8.5
4,16,El de la fiesta falsa,Michael Lembeck,19/03/1998,23.1,8.2
4,17,El del porno gratis,Michael Lembeck,26/03/1998,23.2,8.6
4,18,El del nuevo vestido de Rachel,Gail Mancuso,02/04/1998,21.7,8.3
4,19,El de toda la prisa,Kevin S. Bright,09/04/1998,21.8,8.7
4,20,El de todos los vestidos de novia,Gail Mancuso,16/04/1998,21.9,8.5
4,21,El de la invitación,Peter Bonerz,23/04/1998,21.5,7.2
4,22,El del peor padrino de la historia,Peter Bonerz,30/04/1998,23.2,8.5
4,23,El de la boda de Ross: Parte 1,Kevin S. Bright,07/05/1998,31.6,8.7
4,24,El de la boda de Ross: Parte 2,Kevin S. Bright,07/05/1998,31.6,9.2
5,1,El de después de que Ross diga Rachel,Kevin S. Bright,24/09/1998,31.1,8.9
5,2,El de todos los besos,Gary Halvorson,01/10/1998,25.4,9.0
5,3,El del centenario,Kevin S. Bright,08/10/1998,26.8,8.8
5,4,En el que Phoebe odia el PBS,Shelley Jensen,15/10/1998,24.1,8.3
5,5,El de los Kips,Dana DeValley Piazza,29/10/1998,25.9,8.8
5,6,El del Yeti,Gary Halvorson,05/11/1998,25.0,8.1
5,7,En el que Ross se muda,Gary Halvorson,12/11/1998,24.4,8.4
5,8,El de todos los Acciones de Gracias,Kevin S. Bright,19/11/1998,23.9,9.2
5,9,El del sándwich de Ross,Gary Halvorson,10/12/1998,23.0,9.1
5,10,El de la hermana inapropiada,Dana DeValley Piazza,17/12/1998,23.7,8.2
5,11,El de todos los propósitos,Joe Regalbuto,07/01/1999,27.0,9.1
5,12,El de la risa de trabajo de Chandler,Kevin S. Bright,21/01/1999,24.8,8.3
5,13,El del bolso de Joey,Gail Mancuso,04/02/1999,24.9,8.1
5,14,En el que todos se enteran,Michael Lembeck,11/02/1999,27.7,9.7
5,15,El de la chica que pega a Joey,Kevin S. Bright,18/02/1999,29.3,8.5
5,16,El del policía,Andrew Tsao,25/02/1999,26.0,8.6
5,17,El del beso involuntario de Rachel,Shelley Jensen,18/03/1999,24.5,8.5
5,18,En el que Rachel fuma,Todd Holland,08/04/1999,21.9,8.0
5,19,En el que Ross no sabe ligar,Gail Mancuso,22/04/1999,20.9,8.7
5,20,El del patrullaje,Gary Halvorson,29/04/1999,19.6,8.3
5,21,El de la pelota,Gary Halvorson,06/05/1999,20.9,8.5
5,22,El de la gran oportunidad de Joey,Gary Halvorson,13/05/1999,21.3,8.3
5,23,El de Las Vegas: Parte 1,Kevin S. Bright,20/05/1999,25.9,8.8
5,24,El de Las Vegas: Parte 2,Kevin S. Bright,20/05/1999,25.9,9.1
6,1,El de después de Las Vegas,Kevin S. Bright,23/09/1999,27.7,8.7
6,2,En el que Ross abraza a Rachel,Gail Mancuso,30/09/1999,22.9,8.2
6,3,El de la negación de Ross,Gary Halvorson,07/10/1999,21.6,8.2
6,4,En el que Joey pierde su seguro,Gary Halvorson,14/10/1999,21.1,8.5
6,5,El del Porsche de Joey,Gary Halvorson,21/10/1999,22.4,8.2
6,6,El de la última noche,David Schwimmer,04/11/1999,23.6,8.5
6,7,En el que Phoebe corre,Gary Halvorson,11/11/1999,22.7,8.4
6,8,El de los dientes de Ross,Gary Halvorson,18/11/1999,22.1,8.5
6,9,En el que Ross se colocó,Kevin S. Bright,25/11/1999,19.2,9.2
6,10,El de la coreografía,Kevin S. Bright,16/12/1999,22.4,8.6
6,11,El de la mesa de boticario,Kevin S. Bright,06/01/2000,22.3,8.1
6,12,El del chiste,Gary Halvorson,13/01/2000,22.3,8.1
6,13,El de la hermana de Rachel,Gary Halvorson,03/02/2000,24.1,8.2
6,14,En el que Chandler no puede llorar,Kevin S. Bright,10/02/2000,23.8,8.6
6,15,El de lo que pudo haber sido: Parte 1,Michael Lembeck,17/02/2000,20.7,8.5
6,16,El de lo que pudo haber sido: Parte 2,Michael Lembeck,17/02/2000,20.7,8.5
6,17,El de Unagi,Gary Halvorson,24/02/2000,22.1,9.1
6,18,En el que Ross sale con una estudiante,Gary Halvorson,09/03/2000,20.5,8.3
6,19,El de la nevera de Joey,Ben Weiss,23/03/2000,21.5,8.3
6,20,El de Mac y C.H.E.E.S.E.,Kevin S. Bright,13/04/2000,18.8,7.4
6,21,En el que Ross conoce al padre de Elizabeth,Michael Lembeck,27/04/2000,20.6,8.6
6,22,En el que Paul es el hombre,Gary Halvorson,04/05/2000,20.0,9.0
6,23,El del anillo,Gary Halvorson,11/05/2000,20.9,8.6
6,24,El de la proposición: Parte 1,Kevin S. Bright,18/05/2000,30.7,8.8
6,25,El de la proposición: Parte 2,Kevin S. Bright,18/05/2000,30.7,9.3
7,1,El del protagonismo de Monica,Kevin S. Bright,12/10/2000,25.54,8.4
7,2,El del libro de Rachel,Michael Lembeck,12/10/2000,27.93,8.3
7,3,El de las galletas de Phoebe,Gary Halvorson,19/10/2000,22.7,8.1
7,4,El del asistente de Rachel,David Schwimmer,26/10/2000,22.66,8.1
7,5,El de la foto de compromiso,Gary Halvorson,02/11/2000,24.43,8.1
7,6,El de los compañeros de siesta,Gary Halvorson,09/11/2000,22.01,8.9
7,7,El del libro de la biblioteca de Ross,David Schwimmer,16/11/2000,23.73,8.5
7,8,En el que a Chandler no le gustan los perros,Kevin S. Bright,23/11/2000,16.57,8.2
7,9,El de todos los caramelos,David Schwimmer,07/12/2000,21.08,8.1
7,10,El del Armadillo Navideño,Gary Halvorson,14/12/2000,23.26,8.5
7,11,El de todas las tartas de queso,Gary Halvorson,04/01/2001,24.37,8.6
7,12,En el que están despiertos toda la noche,Kevin S. Bright,11/01/2001,22.86,8.7
7,13,En el que muere Rosita,Stephen Prime,01/02/2001,22.24,8.4
7,14,En el que todos cumplen treinta,Ben Weiss,08/02/2001,22.4,8.6
7,15,El del nuevo cerebro de Joey,Kevin S. Bright,15/02/2001,21.75,8.4
7,16,El de la verdad sobre Londres,David Schwimmer,22/02/2001,21.22,8.7
7,17,El del vestido de novia barato,Kevin S. Bright,15/03/2001,20.84,8.4
7,18,El del premio de Joey,Gary Halvorson,29/03/2001,17.81,8.4
7,19,El de la prima de Ross y Monica,Gary Halvorson,19/04/2001,16.55,8.7
7,20,El del gran beso de Rachel,Gary Halvorson,26/04/2001,16.3,8.4
7,21,El de los votos,Gary Halvorson,03/05/2001,15.65,7.5
7,22,El del padre de Chandler,Kevin S. Bright & Gary Halvorson,10/05/2001,17.23,8.4
7,23,El de la boda de Monica y Chandler: Parte 1,Kevin S. Bright,17/05/2001,30.05,8.9
7,24,El de la boda de Monica y Chandler: Parte 2,Kevin S. Bright,17/05/2001,30.05,9.2
8,1,"El de después del 'Sí, quiero'",Kevin S. Bright,27/09/2001,31.7,8.7
8,2,El del jersey rojo,David Schwimmer,04/10/2001,30.04,9.1
8,3,En el que Rachel cuenta...,Sheldon Epps,11/10/2001,29.2,8.7
8,4,El de la cinta de vídeo,Kevin S. Bright,18/10/2001,25.58,9.3
8,5,El de la cita de Rachel,Gary Halvorson,25/10/2001,25.64,8.1
8,6,El de la fiesta de Halloween,Gary Halvorson,01/11/2001,26.96,8.5
8,7,El de la mancha,Kevin S. Bright,08/11/2001,24.24,7.9
8,8,El de la stripper,David Schwimmer,15/11/2001,26.54,8.8
8,9,El del rumor,Gary Halvorson,22/11/2001,24.24,9.3
8,10,El de las botas de Monica,Kevin S. Bright,06/12/2001,22.44,8.1
8,11,El del paso adelante de Ross,Gary Halvorson,13/12/2001,23.85,8.0
8,12,En el que Joey tiene una cita con Rachel,David Schwimmer,10/01/2002,25.53,8.6
8,13,En el que Chandler se da un baño,Ben Weiss,17/01/2002,29.24,8.6
8,14,El del armario secreto,Kevin S. Bright,31/01/2002,28.64,8.2
8,15,El del vídeo del nacimiento,Kevin S. Bright,07/02/2002,28.64,8.4
8,16,En el que Joey se lo dice a Rachel,Ben Weiss,28/02/2002,27.52,8.3
8,17,El de las hojas de té,Gary Halvorson,07/03/2002,26.3,8.1
8,18,El de Massapequa,Gary Halvorson,28/03/2002,22.05,8.2
8,19,El de la entrevista de Joey,Gary Halvorson,04/04/2002,22.59,7.5
8,20,El de la fiesta del bebé,Kevin S. Bright,25/04/2002,22.24,8.2
8,21,El de la clase de cocina,Gary Halvorson,02/05/2002,23.97,8.2
8,22,En el que Rachel se retrasa,Gary Halvorson,09/05/2002,24.32,8.3
8,23,En el que Rachel tiene un bebé: Parte 1,Kevin S. Bright,16/05/2002,34.91,8.8
8,24,En el que Rachel tiene un bebé: Parte 2,Kevin S. Bright,16/05/2002,34.91,8.9
9,1,En el que nadie se declara,Kevin S. Bright,26/09/2002,34.01,8.6
9,2,En el que Emma llora,Sheldon Epps,03/10/2002,28.93,8.6
9,3,El del pediatra,Roger Christiansen,10/10/2002,26.63,8.2
9,4,El de los tiburones,Ben Weiss,17/10/2002,25.82,8.2
9,5,El de la cena de cumpleaños de Phoebe,David Schwimmer,31/10/2002,24.46,8.5
9,6,El del niñero,Kevin S. Bright,07/11/2002,27.51,8.4
9,7,El de la canción inapropiada de Ross,Gary Halvorson,14/11/2002,25.35,8.7
9,8,El de la otra hermana de Rachel,Kevin S. Bright,21/11/2002,26.76,8.8
9,9,El del número de teléfono de Rachel,Ben Weiss,05/12/2002,25.43,8.2
9,10,El de la Navidad en Tulsa,Kevin S. Bright,12/12/2002,22.29,7.5
9,11,En el que Rachel vuelve al trabajo,Gary Halvorson,09/01/2003,23.67,8.0
9,12,El de las ratas de Phoebe,Ben Weiss,16/01/2003,23.66,8.0
9,13,En el que Monica canta,Gary Halvorson,30/01/2003,25.82,8.2
9,14,El de las citas a ciegas,Gary Halvorson,06/02/2003,23.37,8.2
9,15,El del atraco,Gary Halvorson,13/02/2003,20.85,8.3
9,16,El de la operación de pecho,Gary Halvorson,20/02/2003,19.52,8.2
9,17,El del funeral,Gary Halvorson,13/03/2003,21.0,8.5
9,18,El de la lotería,Gary Halvorson,03/04/2003,20.79,8.6
9,19,El del sueño de Rachel,Terry Hughes,17/04/2003,18.25,8.1
9,20,El de la fiesta de los actores de telenovela,Sheldon Epps,24/04/2003,20.71,8.3
9,21,El de las pruebas de fertilidad,Gary Halvorson,01/05/2003,19.03,8.2
9,22,El del donante,Ben Weiss,08/05/2003,19.55,7.8
9,23,El de Barbados: Parte 1,Kevin S. Bright,15/05/2003,25.46,8.5
9,24,El de Barbados: Parte 2,Kevin S. Bright,15/05/2003,25.46,8.7
10,1,El de después del beso de Joey y Rachel,Kevin S. Bright,25/09/2003,24.54,8.5
10,2,En el que Ross está bien,Ben Weiss,02/10/2003,22.38,8.8
10,3,El del bronceado de Ross,Gary Halvorson,09/10/2003,21.87,8.8
10,4,El de la tarta,Gary Halvorson,23/10/2003,18.77,8.3
10,5,En el que la hermana de Rachel cuida a Emma,Roger Christiansen,30/10/2003,19.37,8.2
10,6,El de la beca de Ross,Ben Weiss,06/11/2003,20.38,8.2
10,7,El del estudio del hogar,Kevin S. Bright,13/11/2003,20.21,8.3
10,8,El del Acción de Gracias tardío,Gary Halvorson,20/11/2003,20.66,8.9
10,9,El de la madre biológica,David Schwimmer,08/01/2004,25.49,8.6
10,10,En el que pillan a Chandler,Gary Halvorson,15/01/2004,26.68,8.0
10,11,En el que la stripper llora,Kevin S. Bright,05/02/2004,24.91,9.0
10,12,El de la boda de Phoebe,Kevin S. Bright,12/02/2004,25.9,8.9
10,13,En el que Joey habla francés,Gary Halvorson,19/02/2004,24.27,8.5
10,14,El de la Princesa Consuela,Gary Halvorson,26/02/2004,22.83,8.6
10,15,En el que muere Estelle,Gary Halvorson,22/04/2004,22.64,8.5
10,16,El de la fiesta de despedida de Rachel,Gary Halvorson,29/04/2004,24.51,8.9
10,17,El último: Parte 1,Kevin S. Bright,06/05/2004,52.46,9.7
10,18,El último: Parte 2,Kevin S. Bright,06/05/2004,52.46,9.7
