año_prod,temporada,numero_episodio,titulo_episodio,duracion,resumen,director,estrellas,votos
1995,2,9,El del padre de Phoebe,22,Phoebe intenta localizar a su padre biológico. Monica y Rachel dan galletas en lugar de propinas.,Kevin Bright,8.0,3444
1996,2,10,El de Russ,22,Rachel empieza a salir con un tipo llamado Russ que es extrañamente idéntico a Ross.,Thomas Schlamme,8.0,3591
1996,2,11,El de la boda lesbiana,22,Carol y Susan se casan. La madre de Rachel viene de visita y anuncia que se va a divorciar.,Thomas Schlamme,8.1,3524
1996,2,12,El de después de la Superbowl: Parte 1,22,Ross busca a su mono Marcel en California y descubre que es una estrella de cine.,Michael Lembeck,8.6,3723
1996,2,13,El de después de la Superbowl: Parte 2,22,Rachel y Monica pelean por Jean-Claude Van Damme. Joey recibe una oferta de una fan acosadora.,Michael Lembeck,8.8,3864
1996,2,14,El del vídeo de la promoción,22,El grupo ve un viejo vídeo de la noche del baile de graduación de Monica y Rachel.,James Burrows,9.4,5736
1996,2,15,En el que Ross y Rachel... ya sabes,22,Ross y Rachel finalmente tienen su primera cita oficial en el museo.,Michael Lembeck,8.9,3928
1996,2,16,En el que Joey se muda,22,Joey decide mudarse a su propio apartamento tras el éxito en 'Los días de nuestra vida'.,Michael Lembeck,8.6,3435
1996,2,17,En el que Eddie se muda,22,Chandler consigue un nuevo y extraño compañero de piso llamado Eddie.,Michael Lembeck,8.3,3407
1996,2,18,En el que el Dr. Ramoray muere,22,Joey es despedido de la serie después de presumir de escribir sus propias líneas.,Michael Lembeck,8.5,3403
1996,2,19,En el que Eddie no se quiere ir,22,Eddie se vuelve cada vez más paranoico y Chandler no consigue que se marche.,Michael Lembeck,8.6,3495
1996,2,20,En el que muere el viejo Yeller,22,Phoebe descubre que su madre le ocultaba los finales tristes de las películas.,Michael Lembeck,8.2,3295
1996,2,21,El de los matones,22,Dos tipos intimidan a Ross y Chandler en el Central Perk. Phoebe conoce a su medio hermano.,Michael Lembeck,8.2,3337
1996,2,22,El de las dos fiestas,22,El grupo organiza dos fiestas separadas para el cumpleaños de Rachel para mantener a sus padres divorciados alejados.,Michael Lembeck,9.0,4151
1996,2,23,El de la varicela,22,Phoebe contrae la varicela justo cuando su novio marino viene de visita.,Michael Lembeck,8.1,3360
1996,2,24,El de la boda de Barry y Mindy,22,Rachel es la dama de honor en la boda de su ex prometido. Chandler se enamora de una mujer en línea que resulta ser Janice.,Michael Lembeck,8.2,3335
1996,3,1,El de la fantasía de la princesa Leia,22,Ross le confiesa una fantasía sexual a Rachel. Chandler intenta volver con Janice.,Gail Mancuso,8.4,3482
1996,3,2,En el que nadie está listo,22,Ross se desespera porque nadie se arregla a tiempo para una gala benéfica en el museo.,Gail Mancuso,9.0,4637
1996,3,3,El de la mermelada,22,Monica intenta superar su ruptura con Richard haciendo mermelada. Chandler pide consejo sobre relaciones.,Kevin Bright,8.1,3324
1996,3,4,El del túnel metafórico,22,Chandler tiene miedo al compromiso. Phoebe olvida avisar a Joey de una audición.,Steve Zuckerman,8.1,3199
1996,3,5,El de Frank Jr.,22,Phoebe pasa tiempo con su medio hermano. Joey intenta construir una unidad de entretenimiento.,Steve Zuckerman,8.1,3292
1996,3,6,El del flashback,22,"El grupo recuerda momentos de hace tres años, antes de que Rachel se uniera a ellos.",Peter Bonerz,9.1,4291
1996,3,7,El de la cama de coche de carreras,22,Monica compra una cama nueva pero recibe una de coche de carreras por error.,Gail Mancuso,8.3,3238
1996,3,8,El del artefacto gigante para pinchar,22,El grupo construye un palo largo para ver si el 'tío desnudo' sigue vivo.,Gail Mancuso,8.4,3258
1996,3,9,El del fútbol americano,22,El grupo juega un partido de fútbol americano muy competitivo en Acción de Gracias.,Kevin Bright,9.0,4588
1996,3,10,En el que Rachel dimite,22,Rachel deja su trabajo en Central Perk. Joey vende árboles de Navidad.,Terry Hughes,8.1,3268
1997,3,11,En el que Chandler no recuerda qué hermana,22,"Chandler se emborracha y se enrolla con una de las hermanas de Joey, pero no sabe cuál.",Terry Hughes,8.6,3374
1997,3,12,El de todos los celos,22,"Ross se pone celoso del nuevo compañero de trabajo de Rachel, Mark.",Robby Benson,8.2,3213
1997,3,13,En el que Monica y Richard son solo amigos,22,Monica y Richard se encuentran y deciden intentar ser solo amigos.,Robby Benson,8.2,3225
1997,3,14,El de la ex compañera de Phoebe,22,La antigua compañera de Phoebe escribe una canción sobre 'Gato Apestoso'.,Robby Benson,7.9,3211
1997,3,15,En el que Ross y Rachel se toman un descanso,22,"Tras una fuerte pelea por los celos de Ross, Rachel propone tomarse un descanso.",James Burrows,8.5,3450
1997,3,16,El de la mañana siguiente,22,Ross se acuesta con otra mujer la misma noche del descanso y trata de ocultárselo a Rachel.,James Burrows,9.1,4192
1997,3,17,El de sin el viaje de esquí,22,Rachel y Ross pelean por la lealtad del grupo tras su ruptura.,Sam Simon,8.3,3154
1997,3,18,El de la cinta de hipnosis,22,Chandler usa una cinta para dejar de fumar que lo vuelve accidentalmente más femenino.,Robby Benson,8.4,3268
1997,3,19,El de la camiseta diminuta,22,Rachel le devuelve sus cosas a Ross. Joey compite por un papel en una obra.,Terry Hughes,8.2,3147
1997,3,20,El de la casa de muñecas,22,"Monica hereda una casa de muñecas increíble, pero no deja que Phoebe juegue con ella.",Terry Hughes,8.1,3134
1997,3,21,El del pollito y el pato,22,"Joey compra un pollito, y él y Chandler terminan adoptando también un pato.",Michael Lembeck,8.7,3359
1997,3,22,El del gritón,22,Rachel sale con un tipo que parece perfecto pero grita a todo el mundo.,Peter Bonerz,8.3,3185
1997,3,23,El de la cosa de Ross,22,Ross tiene una protuberancia extraña en la espalda y va a ver a un herbolario.,Shelley Jensen,8.1,3120
1997,3,24,El del campeón de lucha definitiva,22,El nuevo novio millonario de Monica decide que quiere ser campeón de lucha libre.,Robby Benson,8.1,3253
1997,3,25,El de la playa,22,El grupo va a la playa. Phoebe busca a una amiga de su madre. Rachel y Ross se acercan de nuevo.,Pamela Fryman,8.9,3600
1997,4,1,El de la medusa,22,Monica es picada por una medusa. Ross y Rachel intentan volver pero él se queda dormido leyendo su carta.,Shelley Jensen,9.1,4099
1997,4,2,El del gato,22,Phoebe cree que el espíritu de su madre está en un gato. Chandler y Joey son robados.,Shelley Jensen,8.1,3169
1997,4,3,El de las esposas,22,Chandler se queda esposado en la oficina de la jefa de Rachel. Monica prepara un catering.,Peter Bonerz,8.5,3185
1997,4,4,El del baile de salón,22,Joey ayuda al portero Treeger a aprender a bailar para que no echen a Monica y Rachel.,Gail Mancuso,8.2,3122
1997,4,5,El de la nueva novia de Joey,22,Chandler se enamora de la chica con la que sale Joey.,Gail Mancuso,8.4,3157
1997,4,6,El de la chica sucia,22,Ross sale con una chica hermosa cuyo apartamento es un vertedero.,Shelley Jensen,8.5,3238
1997,4,7,En el que Chandler cruza la línea,22,Chandler besa a la novia de Joey. Ross redescubre su talento musical.,Kevin Bright,8.7,3294
1997,4,8,El de Chandler en una caja,22,Joey castiga a Chandler haciéndole pasar el Día de Acción de Gracias en una caja.,Peter Bonerz,9.1,4139
1997,4,9,En el que van de fiesta,22,Ross y Chandler planean salir de fiesta con un amigo 'fiestero'. Phoebe ayuda a Monica.,Peter Bonerz,7.9,3045
1997,4,10,El de la chica de Poughkeepsie,22,Ross sale con una chica que vive muy lejos. Rachel busca un ligue de oficina.,Gary Halvorson,8.1,3025
1998,4,11,El del útero de Phoebe,22,Phoebe acepta ser la madre de alquiler para su hermano Frank Jr. y su esposa Alice.,David Steinberg,8.5,3210
1998,4,12,El de los embriones,22,El grupo juega a un concurso de preguntas donde Monica y Rachel pierden su apartamento ante Joey y Chandler.,Kevin Bright,9.5,6006
1998,4,13,El del flechazo de Rachel,22,Rachel intenta ligar con un cliente guapo llamado Joshua. Phoebe tiene náuseas matutinas.,Dana De Vally Piazza,8.2,3006
1998,4,14,El del día sucio de Joey,22,Joey va a pescar y termina oliendo fatal en un rodaje. Rachel tiene una cita con Joshua.,Peter Bonerz,8.2,3028
1998,4,15,El de todo el rugby,22,Ross intenta impresionar a Emily jugando al rugby. Monica obsesionada con un interruptor.,James Burrows,8.5,3180
1998,4,16,El de la fiesta falsa,22,Rachel organiza una fiesta de despedida para Emily solo para ver a Joshua.,Michael Lembeck,8.2,3061
1998,4,17,El del porno gratis,22,Chandler y Joey descubren que reciben un canal porno gratis y no apagan la tele.,Michael Lembeck,8.6,3212
1998,4,18,El del nuevo vestido de Rachel,22,"Rachel intenta seducir a Joshua con lencería fina, pero los padres de él aparecen.",Gail Mancuso,8.3,3011
1998,4,19,El de toda la prisa,22,Monica y Rachel intentan recuperar su apartamento apostando entradas para los Knicks.,Kevin Bright,8.7,3168
1998,4,20,El de todos los vestidos de novia,22,"Monica, Phoebe y Rachel se prueban vestidos de novia para animarse.",Gail Mancuso,8.5,3110
1998,4,21,El de la invitación,22,Ross y Emily envían las invitaciones de boda. Rachel decide no ir.,Peter Bonerz,7.2,3364
1998,4,22,El del peor padrino de la historia,22,Joey pierde el anillo de boda de Ross durante la despedida de soltero.,Peter Bonerz,8.5,3052
1998,4,23,El de la boda de Ross: Parte 1,30,"El grupo viaja a Londres para la boda de Ross, excepto Phoebe que está muy embarazada.",Kevin Bright,8.7,3343
1998,4,24,El de la boda de Ross: Parte 2,30,Ross dice el nombre de Rachel en el altar. Monica y Chandler se acuestan por primera vez.,Kevin Bright,9.2,4217
1998,5,1,El de después de que Ross diga Rachel,22,Ross intenta salvar su matrimonio con Emily. Monica y Chandler intentan ocultar su nueva aventura.,Kevin Bright,8.9,3609
1998,5,2,El de todos los besos,22,Monica y Chandler continúan su relación en secreto. Ross intenta que Emily regrese.,Gary Halvorson,9.0,3674
1998,5,3,El del centenario,22,Phoebe se pone de parto y da a luz a los trillizos de su hermano.,Kevin Bright,8.8,3331
1998,5,4,En el que Phoebe odia el PBS,22,Joey participa en un maratón benéfico de televisión. Phoebe intenta demostrar que no existen las buenas acciones desinteresadas.,Shelley Jensen,8.3,2995
1998,5,5,El de los Kips,22,Chandler y Monica se van de viaje de fin de semana a Atlantic City. Joey se entera de su secreto.,Dana De Vally Piazza,8.8,3215
1998,5,6,El del Yeti,22,Monica y Rachel asustan a un tipo en el pasillo que parece un Yeti.,Gary Halvorson,8.1,3001
1998,5,7,En el que Ross se muda,22,"Ross se muda con Chandler y Joey tras su divorcio, volviéndoles locos con sus manías.",Gary Halvorson,8.4,3029
1998,5,8,El de todos los Acciones de Gracias,22,El grupo recuerda sus peores experiencias en Acción de Gracias. Monica se pone un pavo en la cabeza.,Kevin Bright,9.2,4261
1998,5,9,El del sándwich de Ross,22,Ross se enfurece cuando alguien en el trabajo se come su sándwich de pavo sobra de Acción de Gracias.,Gary Halvorson,9.1,3913
1998,5,10,El de la hermana inapropiada,22,Phoebe recolecta dinero para caridad. Rachel se siente incómoda con la relación de Danny y su hermana.,Dana De Vally Piazza,8.2,2980
1999,5,11,El de todos los propósitos,22,El grupo hace propósitos de Año Nuevo. Ross usa pantalones de cuero ajustados en una cita.,Joe Regalbuto,9.1,3781
1999,5,12,El de la risa de trabajo de Chandler,22,Monica descubre que Chandler tiene una risa falsa 'de trabajo' para impresionar a su jefe.,Kevin Bright,8.3,2949
1999,5,13,El del bolso de Joey,22,Joey empieza a llevar un bolso de hombre que Rachel le presta para una audición.,Gail Mancuso,8.1,2959
1999,5,14,En el que todos se enteran,22,Phoebe descubre a Monica y Chandler. Empieza un juego de seducción para que confiesen.,Michael Lembeck,9.7,8066
1999,5,15,El de la chica que pega a Joey,22,"Joey sale con una chica que le pega puñetazos 'jugando', pero le duele.",Kevin Bright,8.5,3125
1999,5,16,El del policía,22,"Phoebe encuentra una placa de policía. Ross, Chandler y Rachel intentan subir un sofá por las escaleras ('¡Pivot!').",Andrew Tsao,8.6,3174
1999,5,17,El del beso involuntario de Rachel,22,Rachel besa accidentalmente a un entrevistador en Ralph Lauren. Ross intenta comunicarse con una vecina guapa.,Shelley Jensen,8.5,2977
1999,5,18,En el que Rachel fuma,22,Rachel finge fumar en su nuevo trabajo para no perderse las reuniones importantes.,Todd Holland,8.0,2898
1999,5,19,En el que Ross no sabe ligar,22,Ross intenta ligar con la repartidora de pizzas pero fracasa estrepitosamente.,Gail Mancuso,8.7,3242
1999,5,20,El del patrullaje,22,Los chicos acompañan al novio policía de Phoebe en un patrullaje.,Gary Halvorson,8.3,2888
1999,5,21,El de la pelota,22,Ross y Joey juegan a pasarse una pelota durante horas sin dejar que caiga.,Gary Halvorson,8.5,3010
1999,5,22,El de la gran oportunidad de Joey,22,Joey viaja a Las Vegas para protagonizar una película que resulta ser un fracaso.,Gary Halvorson,8.3,2857
1999,5,23,El de Las Vegas: Parte 1,22,El grupo viaja a Las Vegas para visitar a Joey. Monica y Chandler apuestan su futuro en los dados.,Kevin Bright,8.8,3282
1999,5,24,El de Las Vegas: Parte 2,22,Ross y Rachel se emborrachan y se casan accidentalmente en una capilla.,Kevin Bright,9.1,3726
1999,6,1,El de después de Las Vegas,22,Ross y Rachel lidian con su matrimonio borracho. Monica y Chandler deciden mudarse juntos.,Kevin Bright,8.7,3175
1999,6,2,En el que Ross abraza a Rachel,22,Ross le miente a Rachel y le dice que ya ha anulado el matrimonio.,Gail Mancuso,8.2,2883
1999,6,3,El de la negación de Ross,22,Ross se niega a aceptar que todavía está enamorado de Rachel.,Gary Halvorson,8.2,2851
1999,6,4,En el que Joey pierde su seguro,22,Joey sufre una hernia pero no tiene seguro médico para operarse.,Gary Halvorson,8.5,2976
1999,6,5,El del Porsche de Joey,22,Joey encuentra las llaves de un Porsche y finge que es suyo para ligar.,Gary Halvorson,8.2,2902
1999,6,6,El de la última noche,22,Monica y Rachel pasan su última noche como compañeras de piso empaquetando y peleando.,David Schwimmer,8.5,2942
1999,6,7,En el que Phoebe corre,22,Rachel se avergüenza de la forma extraña en que Phoebe corre por Central Park.,Gary Halvorson,8.4,2959
1999,6,8,El de los dientes de Ross,22,Ross se blanquea demasiado los dientes antes de una cita.,Gary Halvorson,8.5,3074
1999,6,9,En el que Ross se colocó,22,Monica invita a sus padres a Acción de Gracias pero no les ha dicho que vive con Chandler.,Kevin Bright,9.2,4187
1999,6,10,El de la coreografía,22,Monica y Ross intentan salir por la tele en un especial de Nochevieja con su baile de secundaria.,Kevin Bright,8.6,3139
2000,6,11,El de la mesa de boticario,22,Rachel compra muebles en Pottery Barn pero finge que son antigüedades porque a Phoebe no le gusta esa tienda.,Kevin Bright,8.1,2892
2000,6,12,El del chiste,22,Ross y Chandler se pelean por la autoría de un chiste publicado en una revista.,Gary Halvorson,8.1,2829
2000,6,13,El de la hermana de Rachel,22,"La hermana de Rachel, Jill, viene de visita e intenta salir con Ross.",Gary Halvorson,8.2,2950
2000,6,14,En el que Chandler no puede llorar,22,El grupo descubre que Chandler no ha llorado en años por nada.,Kevin Bright,8.6,2996
2000,6,15,El de lo que pudo haber sido: Parte 1,30,El grupo imagina cómo serían sus vidas si hubieran tomado decisiones diferentes.,Michael Lembeck,8.5,3097
2000,6,16,El de lo que pudo haber sido: Parte 2,30,Continúan las realidades alternativas del grupo.,Michael Lembeck,8.5,3037
2000,6,17,El de Unagi,22,Ross intenta enseñar a Rachel y Phoebe el concepto de 'Unagi' (autodefensa).,Gary Halvorson,9.1,4180
2000,6,18,En el que Ross sale con una estudiante,22,Ross empieza a salir con una de sus alumnas de la universidad.,Gary Halvorson,8.3,2870
2000,6,19,El de la nevera de Joey,22,La nevera de Joey se rompe e intenta que todo el mundo pague por ella.,Ben Weiss,8.3,2920
2000,6,20,El de Mac y C.H.E.E.S.E.,22,Joey tiene la oportunidad de protagonizar una serie con un robot.,Kevin Bright,7.4,3096
2000,6,21,En el que Ross conoce al padre de Elizabeth,22,"Ross conoce a Bruce Willis, que interpreta al intimidante padre de su novia.",Michael Lembeck,8.6,3063
2000,6,22,En el que Paul es el hombre,22,Bruce Willis empieza a salir con Rachel. Ross y Elizabeth van a una cabaña.,Gary Halvorson,9.0,3578
2000,6,23,El del anillo,22,Chandler busca el anillo de compromiso perfecto para Monica con la ayuda de Phoebe.,Gary Halvorson,8.6,2980
2000,6,24,El de la proposición: Parte 1,30,"Chandler planea pedirle matrimonio a Monica, pero Richard reaparece en sus vidas.",Kevin Bright,8.8,3065
2000,6,25,El de la proposición: Parte 2,30,Monica sorprende a Chandler con una habitación llena de velas y le pide ella que se casen.,Kevin Bright,9.3,4186
2000,7,1,El del protagonismo de Monica,22,Monica cree que Rachel está intentando robarle el protagonismo en su noche de compromiso.,Kevin Bright,8.4,3022
2000,7,2,El del libro de Rachel,22,Joey encuentra un libro erótico que Rachel está leyendo. Phoebe se muda al apartamento de Ross.,Michael Lembeck,8.3,2817
2000,7,3,El de las galletas de Phoebe,22,Phoebe y Monica intentan recrear la receta secreta de las galletas de la abuela de Phoebe.,Gary Halvorson,8.1,2803
2000,7,4,El del asistente de Rachel,22,"Rachel contrata a un asistente guapo llamado Tag, a pesar de que no está cualificado.",David Schwimmer,8.1,2820
2000,7,5,El de la foto de compromiso,22,Chandler no sabe sonreír para las fotos profesionales de compromiso.,Gary Halvorson,8.1,2785
2000,7,6,El de los compañeros de siesta,22,Joey y Ross descubren que disfrutan echándose la siesta juntos.,Gary Halvorson,8.9,3369
2000,7,7,El del libro de la biblioteca de Ross,22,Ross descubre que su tesis está en una sección de la biblioteca donde la gente suele ir a tener sexo.,David Schwimmer,8.5,2856
2000,7,8,En el que a Chandler no le gustan los perros,22,Phoebe mete un perro a escondidas en el apartamento y descubren la fobia de Chandler.,Kevin Bright,8.2,2772
2000,7,9,El de todos los caramelos,22,"Monica hace caramelos caseros para conocer a sus vecinos, pero se le va de las manos.",David Schwimmer,8.1,2753
2000,7,10,El del Armadillo Navideño,22,Ross se disfraza de armadillo para enseñarle a Ben sobre Hanukkah.,Gary Halvorson,8.5,3014
2001,7,11,El de todas las tartas de queso,22,Rachel y Chandler roban y se comen las deliciosas tartas de queso que llegan por error.,Gary Halvorson,8.6,2936
2001,7,12,En el que están despiertos toda la noche,22,Diferentes situaciones mantienen a todo el grupo despierto durante una noche.,Kevin Bright,8.7,2983
2001,7,13,En el que muere Rosita,22,"Joey cree que Rachel ha roto su sillón favorito, Rosita.",Stephen Prime,8.4,2819
2001,7,14,En el que todos cumplen treinta,22,El grupo recuerda sus traumáticos trigésimos cumpleaños cuando Rachel cumple los suyos.,Ben Weiss,8.6,2976
2001,7,15,El del nuevo cerebro de Joey,22,Joey consigue un trasplante de cerebro para su personaje en la serie.,Kevin Bright,8.4,2896
2001,7,16,El de la verdad sobre Londres,22,Monica y Chandler descubren que Monica originalmente buscaba a Joey en Londres.,David Schwimmer,8.7,2961
2001,7,17,El del vestido de novia barato,22,Monica pelea con otra mujer por un vestido de novia en rebajas.,Kevin Bright,8.4,2758
2001,7,18,El del premio de Joey,22,Joey es nominado a un premio de interpretación pero no lo gana.,Gary Halvorson,8.4,2793
2001,7,19,El de la prima de Ross y Monica,22,La atractiva prima de los Geller viene de visita y todos se sienten atraídos por ella.,Gary Halvorson,8.7,3155
2001,7,20,El del gran beso de Rachel,22,Rachel se encuentra con una antigua amiga de la universidad a la que besó una vez.,Gary Halvorson,8.4,2894
2001,7,21,El de los votos,22,Monica y Chandler intentan escribir sus votos matrimoniales.,Gary Halvorson,7.5,2832
2001,7,22,El del padre de Chandler,22,Monica y Chandler viajan a Las Vegas para invitar al padre de Chandler a la boda.,Kevin Bright,8.4,2822
2001,7,23,El de la boda de Monica y Chandler: Parte 1,22,Llega el día de la boda. Chandler entra en pánico e intenta huir.,Kevin Bright,8.9,3178
2001,7,24,El de la boda de Monica y Chandler: Parte 2,22,Monica y Chandler se casan. Phoebe encuentra un test de embarazo positivo.,Kevin Bright,9.2,3563
2001,8,1,"El de después del 'Sí, quiero'",22,Monica y Chandler celebran su banquete mientras todos intentan descubrir quién está embarazada.,Kevin Bright,8.7,3005
2001,8,2,El del jersey rojo,22,"Ross busca su jersey rojo, lo que revela que él es el padre del bebé de Rachel.",David Schwimmer,9.1,3470
2001,8,3,En el que Rachel cuenta...,22,Rachel le dice a Ross que está embarazada. Chandler y Monica se van de luna de miel.,Sheldon Epps,8.7,2858
2001,8,4,El de la cinta de vídeo,22,"Ross y Rachel discuten sobre quién sedujo a quién, y Ross revela que lo grabó en vídeo.",Kevin Bright,9.3,4114
2001,8,5,El de la cita de Rachel,22,Rachel tiene una cita mientras está embarazada. Phoebe sale con el gemelo del novio de Ursula.,Gary Halvorson,8.1,2703
2001,8,6,El de la fiesta de Halloween,22,Monica organiza una fiesta de disfraces. Ross se disfraza de 'Spud-nik'.,Gary Halvorson,8.5,2969
2001,8,7,El de la mancha,22,Ross descubre que el padre de su novia Mona no le tiene mucho aprecio.,Kevin Bright,7.9,2766
2001,8,8,El de la stripper,22,Monica contrata por error a una stripper muy vieja para la despedida de soltero tardía de Chandler.,David Schwimmer,8.8,3082
2001,8,9,El del rumor,22,"Will (Brad Pitt), un antiguo compañero de instituto que odiaba a Rachel, viene a cenar por Acción de Gracias.",Gary Halvorson,9.3,5291
2001,8,10,El de las botas de Monica,22,Monica compra unas botas carísimas que le hacen un daño insoportable.,Kevin Bright,8.1,2765
2001,8,11,El del paso adelante de Ross,22,"Mona quiere enviar tarjetas de Navidad juntos, lo que asusta a Ross.",Gary Halvorson,8.0,2636
2002,8,12,En el que Joey tiene una cita con Rachel,22,Joey lleva a Rachel a cenar para animarla y empieza a desarrollar sentimientos reales.,David Schwimmer,8.5,2871
2002,8,13,En el que Chandler se da un baño,22,Monica convence a Chandler de los placeres de darse un baño relajante con sales.,Ben Weiss,8.6,2800
