temporada,numero_episodio,guionista
7,3,Ellen Plummer
7,4,Brian Boyle
7,6,Brian Buckner
7,6,Sebastian Jones
7,7,Scott Silveri
7,8,Patty Lin
7,9,Wil Calhoun
7,10,Gregory S. Malins
7,11,Shana Goldberg-Meehan
7,12,Zachary Rosenblatt
7,19,Andrew Reich
7,19,Ted Cohen
7,20,Scott Silveri
7,20,Shana Goldberg-Meehan
7,21,Doty Abrams
7,23,Gregory S. Malins
7,23,Marta Kauffman
7,23,David Crane
7,24,Gregory S. Malins
7,24,Marta Kauffman
7,24,David Crane
8,1,David Crane
8,1,Marta Kauffman
8,2,Dana Klein Borkow
8,3,Sherry Bilsing
8,3,Ellen Plummer
8,4,Scott Silveri
8,5,Brian Buckner
8,5,Sebastian Jones
8,6,Mark Kunerth
8,7,R. Lee Fleming Jr.
8,8,Andrew Reich
8,8,Ted Cohen
8,9,Shana Goldberg-Meehan
8,11,Robert Carlock
8,12,Sherry Bilsing-Graham
8,12,Ellen Plummer
8,13,Vanessa Mc
8,13,Carthy
8,14,Brian Buckner
8,14,Sebastian Jones
8,15,Dana Klein Borkow
8,16,Andrew Reich
8,16,Ted Cohen
8,19,Doty Abrams
8,20,Sherry Bilsing-Graham
8,20,Ellen Plummer
8,22,Shana Goldberg-Meehan
8,23,Scott Silveri
8,23,Marta Kauffman
8,23,David Crane
8,24,Scott Silveri
8,24,Marta Kauffman
8,24,David Crane
9,1,Sherry Bilsing-Graham
9,1,Ellen Plummer
9,2,Dana Klein Borkow
9,3,Brian Buckner
9,3,Sebastian Jones
9,4,Andrew Reich
9,4,Ted Cohen
9,5,Scott Silveri
9,6,David Crane
9,6,Marta Kauffman
9,7,Robert Carlock
9,8,Shana Goldberg-Meehan
9,9,Mark Kunerth
9,10,Doty Abrams
9,14,Sherry Bilsing-Graham
9,14,Ellen Plummer
9,15,Peter Tibbals
9,16,Mark Kunerth
9,22,Andrew Reich
9,22,Ted Cohen
9,23,Shana Goldberg-Meehan
9,23,Scott Silveri
9,23,Marta Kauffman
9,23,David Crane
9,24,Shana Goldberg-Meehan
9,24,Scott Silveri
9,24,Marta Kauffman
9,24,David Crane
10,1,Andrew Reich
10,1,Ted Cohen
10,2,Sherry Bilsing-Graham
10,2,Ellen Plummer
10,3,Brian Buckner
10,4,Robert Carlock
10,5,Dana Klein Borkow
10,6,Sebastian Jones
10,7,Mark Kunerth
10,8,Shana Goldberg-Meehan
10,9,Scott Silveri
10,10,Doty Abrams
10,11,David Crane
10,11,Marta Kauffman
10,12,Robert Carlock
10,12,Dana Klein Borkow
10,13,Sherry Bilsing-Graham
10,13,Ellen Plummer
10,16,Andrew Reich
10,16,Ted Cohen
10,17,Marta Kauffman
10,17,David Crane
10,18,Marta Kauffman
10,18,David Crane
