text,speaker,season,episode_number,scene,utterance
"Siento como si alguien me hubiera metido la mano en la garganta, hubiera agarrado mi intestino delgado, lo hubiera sacado de mi boca y lo hubiera atado alrededor de mi cuello...",Ross Geller,1,1,1,24
¿Galleta?,Chandler Bing,1,1,1,25
Carol sacó sus cosas hoy.,Monica Geller,1,1,1,26
Oh.,Joey Tribbiani,1,1,1,27
Déjame traerte un poco de café.,Monica Geller,1,1,1,28
Gracias.,Ross Geller,1,1,1,29
¡Oh! ¡Oh!,Phoebe Buffay,1,1,1,30
"¡No, no, no lo hagas! ¡Deja de limpiar mi aura! No, solo deja mi aura en paz, ¿de acuerdo?",Ross Geller,1,1,1,31
¡Bien! ¡Sé turbio!,Phoebe Buffay,1,1,1,32
"Estaré bien, ¿vale? De verdad, todos. Espero que sea muy feliz.",Ross Geller,1,1,1,33
"No, no lo haces.",Monica Geller,1,1,1,34
"No, no lo hago, ¡al diablo con ella, ella me dejó!",Ross Geller,1,1,1,35
Y nunca supiste que era lesbiana...,Joey Tribbiani,1,1,1,36
"¡¡No!! ¡¿Bueno?! ¿Por qué todo el mundo sigue obsesionándose con eso? Ella no lo sabía, ¿cómo debería saberlo?",Ross Geller,1,1,1,37
A veces desearía ser lesbiana... ¿Lo dije en voz alta?,Chandler Bing,1,1,1,38
Anoche les dije a mamá y papá que parecieron tomarlo bastante bien.,Ross Geller,1,1,1,39
"Oh, de verdad, entonces esa llamada telefónica histérica que recibí de una mujer sollozando a las 3:00 a. m.: ""Nunca tendré nietos, nunca tendré nietos"". fue que? ¿Un número equivocado?",Monica Geller,1,1,1,40
Lo siento.,Ross Geller,1,1,1,41
"Muy bien Ross, mira. Estás sintiendo mucho dolor en este momento. Estás enojado. Estás sufriendo. ¿Puedo decirte cuál es la respuesta?",Joey Tribbiani,1,1,1,42
(Ross hace un gesto de consentimiento.),Scene Directions,1,1,1,43
"¡Un porro de striptease! ¡Vamos, estás soltero! ¡Ten algunas hormonas!",Joey Tribbiani,1,1,1,44
"No quiero estar soltero, ¿vale? Yo sólo... yo sólo... ¡sólo quiero casarme de nuevo!",Ross Geller,1,1,1,45
(Rachel entra con un vestido de novia mojado y comienza a buscar en la habitación.),Scene Directions,1,1,1,46
¡Y sólo quiero un millón de dólares!,Chandler Bing,1,1,1,47
¿¡Raquel?!,Monica Geller,1,1,1,48
"Oh Dios Mónica hola! ¡Gracias a Dios! Fui a tu edificio y no estabas allí y entonces este tipo con un gran martillo dijo que podrías estar aquí y lo estás, ¡lo estás!",Rachel Green,1,1,1,49
¿Puedo traerte un poco de café?,Waitress,1,1,1,50
"Descafeinado. Bien, todos, ella es Rachel, otra sobreviviente de Lincoln High. Estos son todos, estos son Chandler, Phoebe, Joey y... ¿recuerdas a mi hermano Ross?",Monica Geller,1,1,1,51
"Hola, claro!",Rachel Green,1,1,1,52
Hola.,Ross Geller,1,1,1,53
(Van a abrazarse pero el paraguas de Ross se abre. Él vuelve a sentarse derrotado. Sigue un momento de silencio mientras Rachel se sienta y los demás esperan que ella les explique.),Scene Directions,1,1,1,54
¿Quieres decírnoslo ahora o estamos esperando a cuatro damas de honor mojadas?,Monica Geller,1,1,1,55
"Oh Dios... bueno, empezó aproximadamente media hora antes de la boda. Estaba en la habitación donde guardábamos todos los regalos y estaba mirando esta salsera. Esta salsera Lamauge realmente hermosa. Cuando de repente, ¿Sweet 'n' Lo?, me di cuenta de que me excitaba más esa salsera que Barry. Y luego me asusté mucho, y fue entonces cuando me di cuenta: cuánto se parece Barry al Sr. Potato Head. Ya sabes, quiero decir, siempre supe que me resultaba familiar, pero... De todos modos, tenía que salir de allí y comencé a preguntarme: '¿Por qué estoy haciendo esto y para quién estoy haciendo esto?'. De todos modos, no sabía adónde ir, y sé que tú y yo nos hemos distanciado un poco, pero eres la única persona que conozco que vive aquí en la ciudad.",Rachel Green,1,1,1,56
Que no fue invitado a la boda.,Monica Geller,1,1,1,57
"Ooh, esperaba que eso no fuera un problema...",Rachel Green,1,1,1,58
Ahora supongo que él le compró el órgano de tubos grande y ella realmente no está contenta con eso.,Monica Geller,1,1,2,1
¿Ensalada de atún o huevo? ¡Decidir!,Chandler Bing,1,1,2,2
Tomaré lo que sea que Christine esté tomando.,Ross Geller,1,1,2,3
"Papá, yo sólo... ¡no puedo casarme con él! Lo lamento. Simplemente no lo amo. Bueno, ¡a mí me importa!",Rachel Green,1,1,2,4
"(La escena en la televisión ha cambiado para mostrar a dos mujeres, una sosteniendo su cabello).",Scene Directions,1,1,2,5
"Si me suelto el pelo, se me caerá la cabeza.",Phoebe Buffay,1,1,2,6
"Oh, ella no debería usar esos pantalones.",Chandler Bing,1,1,2,7
Yo digo que la empujes escaleras abajo.,Joey Tribbiani,1,1,2,8
¡Empujala escaleras abajo! ¡Empujala escaleras abajo! ¡Empujala escaleras abajo!,,1,1,2,9
(La empujan escaleras abajo y todos aplauden.),Scene Directions,1,1,2,10
"¡Vamos papá, escúchame! Es como si toda mi vida todos me hubieran dicho: '¡Eres un zapato! ¡Eres un zapato, eres un zapato, eres un zapato!'. Y hoy me detuve y dije: '¿Qué pasa si no quiero ser un zapato? ¿Qué pasa si quiero ser un bolso, sabes? ¡O un-o un sombrero! No, no digo que quiera que me compres un sombrero, digo que soy un ha- ¡Es una metáfora, papá!",Rachel Green,1,1,2,11
Puedes ver dónde tendría problemas.,Ross Geller,1,1,2,12
"Mira papá, es mi vida. Bueno, tal vez me quede aquí con Mónica.",Rachel Green,1,1,2,13
"Bueno, supongo que hemos establecido quién se quedará aquí con Mónica...",Monica Geller,1,1,2,14
"Bueno, tal vez esa sea mi decisión. Bueno, tal vez no necesito tu dinero. ¡¡Esperar!! ¡¡Espera, dije tal vez!!",Rachel Green,1,1,2,15
"[Lapso de tiempo, Rachel respira en una bolsa de papel.]",Scene Directions,1,1,2,16
"Sólo respira, respira... eso es todo. Sólo intenta pensar en cosas agradables y tranquilas...",Monica Geller,1,1,2,17
"Gotas de lluvia sobre rosas y conejos y gatitos, campanillas y campanillas y algo con guantes... La la la la... algo y fideos con hilo. Estos son algunos...",Phoebe Buffay,1,1,2,18
Estoy mejor ahora.,Rachel Green,1,1,2,19
¡Ayudé!,Phoebe Buffay,1,1,2,20
"Vale, mira, esto probablemente sea lo mejor, ¿sabes? Independencia. Tomando el control de tu vida. Todo el asunto del 'sombrero'.",Monica Geller,1,1,2,21
"Y oye, si necesitas cualquier cosa, siempre puedes acudir a Joey. Chandler y yo vivimos al otro lado del pasillo. Y él está fuera mucho.",Joey Tribbiani,1,1,2,22
"¡Joey, deja de coquetear con ella! ¡Es el día de su boda!",Monica Geller,1,1,2,23
"¿Qué, como si hubiera una regla o algo así?",Joey Tribbiani,1,1,2,24
(Suena el timbre de la puerta y Chandler lo capta.),Scene Directions,1,1,2,25
"Por favor, no vuelvas a hacer eso, es un sonido horrible.",Chandler Bing,1,1,2,26
"Es, eh, es Paul.",Paul the Wine Guy,1,1,2,27
"Oh Dios, ¿son las 6:30? ¡Entra!",Monica Geller,1,1,2,28
¿Quién es Pablo?,Joey Tribbiani,1,1,2,29
"¿Paul el chico del vino, Paul?",Ross Geller,1,1,2,30
"Tal vez. Joey: Espera. ¿Tu 'cita no real' de esta noche es con Paul, el chico del vino?",Monica Geller,1,1,2,31
¿Finalmente te invitó a salir?,Ross Geller,1,1,2,32
¡Sí!,Monica Geller,1,1,2,33
"Oh, este es un momento de Dear Diary.",Chandler Bing,1,1,2,34
"Rach, espera, puedo cancelar...",Monica Geller,1,1,2,35
"Por favor, no, vete, ¡eso estaría bien!",Rachel Green,1,1,2,36
"¿Estás, estás bien? Quiero decir, ¿quieres que me quede?",Monica Geller,1,1,2,37
Eso sería bueno...,Ross Geller,1,1,2,38
¿En realidad?,Monica Geller,1,1,2,39
"¡No, continúa! ¡Es Paul, el chico del vino!",Ross Geller,1,1,2,40
"¿Qué significa eso? ¿Lo vende, lo bebe o simplemente se queja mucho?",Phoebe Buffay,1,1,2,41
(Se oye un golpe en la puerta y es Paul.),Scene Directions,1,1,2,42
"Hola, entra! Paul, este es... ... todos, todos, este es Paul.",Monica Geller,1,1,2,43
¡Ey! ¡Pablo! ¡Hola! ¡El chico del vino! ¡Ey!,#ALL#,1,1,2,44
"Lo siento, no entendí tu nombre. Pablo, ¿lo fue?",Chandler Bing,1,1,2,45
"Está bien, umm-umm, ya vuelvo, sólo tengo que irme, vamos, ah...",Monica Geller,1,1,2,46
¿Un deambular?,Ross Geller,1,1,2,47
"¡Cambiar! Está bien, siéntate. Dos segundos.",Monica Geller,1,1,2,48
"Ooh, acabo de sacar cuatro pestañas. Eso no puede ser bueno.",Phoebe Buffay,1,1,2,49
(Mónica va a cambiarse.),Scene Directions,1,1,2,50
"¡Oye, Pablo!",Joey Tribbiani,1,1,2,51
¿Sí?,Paul the Wine Guy,1,1,2,52
"Aquí tienes un pequeño consejo, a ella le gusta mucho que le frotes el cuello en el mismo lugar una y otra vez hasta que empiece a ponerse un poco rojo.",Joey Tribbiani,1,1,2,53
"¡Cállate, Joey!",Monica Geller,1,1,2,54
"Entonces Rachel, ¿qué estás... qué estás haciendo esta noche?",Ross Geller,1,1,2,55
"Bueno, se suponía que iba a ir a Aruba en mi luna de miel, ¡así que nada!",Rachel Green,1,1,2,56
"Cierto, ni siquiera vas a tener tu luna de miel, Dios... No, no, aunque, Aruba, en esta época del año... habla de tus... -grandes lagartos... De todos modos, si no tienes ganas de estar solo esta noche, Joey y Chandler vendrán a ayudarme a armar mis muebles nuevos.",Ross Geller,1,1,2,57
"Sí, y estamos muy entusiasmados con ello.",Chandler Bing,1,1,2,58
"Bueno, en realidad gracias, pero creo que simplemente pasaré el rato aquí esta noche. Ha sido un día un poco largo.",Rachel Green,1,1,2,59
"Vale, claro.",Ross Geller,1,1,2,60
"Hola Phoebs, ¿quieres ayudar?",Joey Tribbiani,1,1,2,61
"Oh, desearía poder, pero no quiero.",Phoebe Buffay,1,1,2,62
"El amor es dulce como la lluvia de verano, el amor es una maravillosa obra de arte, pero tu amor, oh tu amor, tu amor... es como una paloma gigante... cagando en mi corazón. La-la-la-la-la- Gracias. La-la-la-la... ¡ohhh!",Phoebe Buffay,1,1,3,1
"Se supone que debo colocar un soporte en los elementos laterales, usando un montón de estos pequeños gusanos. No tengo ningún paréntesis, no veo caprichos de ningún tipo y no puedo sentir mis piernas.",Ross Geller,1,1,4,1
(Joey y Chandler están terminando de armar la estantería.),Scene Directions,1,1,4,2
Estoy pensando que tenemos una estantería aquí.,Joey Tribbiani,1,1,4,3
Es algo hermoso.,Chandler Bing,1,1,4,4
¿Qué es esto?,Joey Tribbiani,1,1,4,5
Tendría que decir que es un soporte en forma de 'L'.,Chandler Bing,1,1,4,6
¿Cuál va adónde?,Joey Tribbiani,1,1,4,7
No tengo ni idea.,Chandler Bing,1,1,4,8
(Joey comprueba que Ross no está mirando y lo tira en una planta.),Scene Directions,1,1,4,9
¡Terminamos con la estantería!,Joey Tribbiani,1,1,4,10
¡Todo terminado!,Chandler Bing,1,1,4,11
"Esta era la cerveza favorita de Carol. Ella siempre lo bebía de la lata, debería haberlo sabido.",Ross Geller,1,1,4,12
"Oye, oye, oye, si vas a empezar con esas cosas, nos vamos de aquí.",Joey Tribbiani,1,1,4,13
"Sí, por favor no arruines toda esta diversión.",Chandler Bing,1,1,4,14
"Ross, déjame hacerte una pregunta. Ella consiguió los muebles, el estéreo, el buen televisor... ¿qué compraste tú?",Joey Tribbiani,1,1,4,15
Ustedes chicos.,Ross Geller,1,1,4,16
"Oh, Dios.",Chandler Bing,1,1,4,17
Estás jodido.,Joey Tribbiani,1,1,4,18
¡Ay dios mío!,Chandler Bing,1,1,4,19
¡Ay dios mío!,Monica Geller,1,1,5,1
"Lo sé, lo sé, soy un idiota. Supongo que debería haberme dado cuenta cuando empezó a ir al dentista cuatro y cinco veces por semana. Quiero decir, ¿qué tan limpios pueden llegar a ser los dientes?",Paul the Wine Guy,1,1,5,2
"Mi hermano está pasando por eso ahora mismo, es un desastre. ¿Cómo lo superaste?",Monica Geller,1,1,5,3
"Bueno, podrías intentar romper accidentalmente algo valioso de ella, dice ella-",Paul the Wine Guy,1,1,5,4
-¿pierna?,Monica Geller,1,1,5,5
¡Esa es una manera! Yo... fui por el reloj.,Paul the Wine Guy,1,1,5,6
¿De verdad le rompiste el reloj? ¡Guau! Lo peor que he hecho en mi vida fue destrozarme con la toalla de baño favorita de mi novio.,Monica Geller,1,1,5,7
"Oh, mantente alejado de ti.",Paul the Wine Guy,1,1,5,8
Así es.,Monica Geller,1,1,5,9
"Barry, lo siento... lo siento mucho... Sé que probablemente piensas que todo esto se debe a lo que dije el otro día acerca de que hacías el amor con los calcetines puestos, pero no lo es... no lo es, se trata de mí, y yo... Hola, la máquina me cortó de nuevo... de todos modos... mira, mira, sé que una chica va a tener una suerte increíble de convertirse en la Sra. Barry Finkel, pero no soy yo, no soy yo. Y no es que tenga idea de quién soy ahora, pero tú también tienes que darme una oportunidad...",Rachel Green,1,1,6,1
¡Estoy divorciado! ¡Solo tengo 26 años y estoy divorciada!,Ross Geller,1,1,7,1
¡Callarse la boca!,Joey Tribbiani,1,1,7,2
¡Debes parar!,Chandler Bing,1,1,7,3
Eso sólo me llevó una hora.,Ross Geller,1,1,7,4
"Mira, Ross, tienes que entender que entre nosotros no hemos tenido una relación que haya durado más que un Mento. Tú, sin embargo, has tenido el amor de una mujer durante cuatro años. Cuatro años de cercanía y de compartir al final de los cuales ella te arrancó el corazón, ¡y por eso no lo hacemos! ¡No creo que ese fuera mi punto!",Chandler Bing,1,1,7,5
"¿Sabes cuál es la parte más aterradora? ¿Y si sólo hubiera una mujer para todos? Quiero decir, ¿qué pasa si consigues una mujer y eso es todo? Desafortunadamente en mi caso, solo había una mujer- para ella...",Ross Geller,1,1,7,6
"¿De qué estás hablando? ¿'Una mujer'? Eso es como decir que sólo hay un sabor de helado para ti. Déjame decirte algo, Ross. Hay muchos sabores por ahí. ¡Están Rocky Road, Cookie Dough y Bing! Cereza Vainilla. ¡Puedes conseguirlos con Jimmies, nueces o crema batida! ¡Esto es lo mejor que te ha pasado! Te casaste, tenías como, ¿cuánto, ocho? ¡Bienvenidos de nuevo al mundo! ¡Coge una cuchara!",Joey Tribbiani,1,1,7,7
Sinceramente no sé si tengo hambre o estoy cachondo.,Ross Geller,1,1,7,8
¡No te metas en mi congelador!,Chandler Bing,1,1,7,9
"Desde que ella me abandonó, yo, eh...",Paul the Wine Guy,1,1,8,1
¿Qué?... ¿Qué? ¿Quieres deletrearlo con fideos?,Monica Geller,1,1,8,2
"No, es más bien una especie de revelación de una quinta cita.",Paul the Wine Guy,1,1,8,3
"Oh, ¿entonces habrá una quinta cita?",Monica Geller,1,1,8,4
¿No lo hay?,Paul the Wine Guy,1,1,8,5
"Sí... sí, creo que sí. -¿Qué ibas a decir?",Monica Geller,1,1,8,6
"Bueno, siempre... desde que ella me dejó, no he podido actuar. ...Sexualmente.",Paul the Wine Guy,1,1,8,7
"Oh Dios, oh Dios, lo siento... lo siento mucho...",Monica Geller,1,1,8,8
Está bien...,Paul the Wine Guy,1,1,8,9
Sé que probablemente no es lo que necesitas en este momento que te escupan. Mmm... ¿cuánto tiempo?,Monica Geller,1,1,8,10
Dos años.,Paul the Wine Guy,1,1,8,11
¡Guau! ¡Me alegro de que le hayas destrozado el reloj!,Monica Geller,1,1,8,12
¿Entonces todavía crees que... podrías querer esa quinta cita?,Paul the Wine Guy,1,1,8,13
"...Sí. Sí, lo hago.",Monica Geller,1,1,8,14
"Estamos reunidos hoy aquí para unirnos a Joanne Louise Cunningham y Charles, Chachi-Chachi-Chachi, Arcola en el vínculo del santo matrimonio.",Priest On Tv,1,1,9,1
Oh... mira... ¡pero Joanne amaba a Chachi! ¡Esa es la diferencia!,Rachel Green,1,1,9,2
"Coge una cuchara. ¿Sabes cuánto tiempo ha pasado desde que agarré una cuchara? ¿Las palabras ""Billy, no seas un héroe"" significan algo para ti?",Ross Geller,1,1,10,1
"¡Gran historia! Pero, uh, me tengo que ir, tengo una cita con Andrea--Angela--Andrea... Oh hombre,",Joey Tribbiani,1,1,10,2
"Ángela es la que grita, Andrea tiene gatos.",Chandler Bing,1,1,10,3
Bien. Gracias. Es junio. Me voy de aquí.,Joey Tribbiani,1,1,10,4
"Ya sabes, aquí está la cuestión. Incluso si pudiera reunirme lo suficiente para invitar a salir a una mujer, ¿a quién voy a invitar?",Ross Geller,1,1,10,5
[Corte a Rachel mirando por la ventana.],Scene Directions,1,1,10,6
"¿No es esto asombroso? Quiero decir, nunca antes había hecho café en toda mi vida.",Rachel Green,1,1,11,1
Eso es asombroso.,Chandler Bing,1,1,11,2
Felicidades.,Joey Tribbiani,1,1,11,3
"Ya sabes, me imagino que si puedo hacer café, no hay nada que no pueda hacer.",Rachel Green,1,1,11,4
"Si puedo invadir Polonia, no hay nada que no pueda hacer.",Chandler Bing,1,1,11,5
"Escucha, mientras estás en racha, si sientes que tienes que preparar una tortilla occidental o algo así... Aunque en realidad no tengo tanta hambre...",Joey Tribbiani,1,1,11,6
"Oh bien, Lenny y Squigy están aquí.",Monica Geller,1,1,11,7
Mañana. Buen día.,#ALL#,1,1,11,8
Mañana.,Paul the Wine Guy,1,1,11,9
"Buenos días, Pablo.",Joey Tribbiani,1,1,11,10
Hola pablo.,Rachel Green,1,1,11,11
"Hola pablo, ¿verdad?",Chandler Bing,1,1,11,12
(Mónica y Paul caminan hacia la puerta y hablan en voz baja para que los demás no puedan escuchar. Los demás acercan la mesa de Mónica a la puerta para que ellos puedan.),Scene Directions,1,1,11,13
¡Gracias! ¡Muchas gracias!,Paul the Wine Guy,1,1,11,14
¡Detener!,Monica Geller,1,1,11,15
"No, te digo que anoche fue como umm, todos mis cumpleaños, ambas graduaciones, además de la escena de la construcción del granero en Witness.",Paul the Wine Guy,1,1,11,16
Hablaremos más tarde.,Monica Geller,1,1,11,17
Sí. Gracias.,Paul the Wine Guy,1,1,11,18
¿Esa no fue una cita real? ¿Qué diablos haces en una cita real?,Joey Tribbiani,1,1,11,19
Cállate y vuelve a poner mi mesa.,Monica Geller,1,1,11,20
¡Está bien!,#ALL#,1,1,11,21
"Muy bien, niños, tengo que ponerme a trabajar. Si no ingreso esos números,... no hay mucha diferencia...",Chandler Bing,1,1,11,22
"Entonces, ¿todos ustedes tienen trabajo?",Rachel Green,1,1,11,23
"Sí, todos tenemos trabajo. Mira, así es como compramos cosas.",Monica Geller,1,1,11,24
"Sí, soy actor.",Joey Tribbiani,1,1,11,25
¡Guau! ¿Te habría visto en algo?,Rachel Green,1,1,11,26
Dudo. Trabajo principalmente regional.,Joey Tribbiani,1,1,11,27
"Oh, espera, espera, a menos que hayas visto la producción de Pinocho de las reposiciones, en el pequeño teatro del parque.",Monica Geller,1,1,11,28
"Mira, fue un trabajo, ¿vale?",Joey Tribbiani,1,1,11,29
"""Mira, Gippetto, soy un chico muy vivo"".",Chandler Bing,1,1,11,30
No aceptaré este abuso.,Joey Tribbiani,1,1,11,31
"Tienes razón, lo siento. ""Una vez fui un niño de madera, un pequeño niño de madera...""",Chandler Bing,1,1,11,32
Ambos deberían saber que es hombre muerto. ¿Chandler?,Joey Tribbiani,1,1,11,33
"Entonces, ¿cómo estás hoy? ¿Dormiste bien? ¿Hablar con Barry? No puedo dejar de sonreír.",Monica Geller,1,1,11,34
Puedo ver eso. Parece que hubieras dormido con una percha en la boca.,Rachel Green,1,1,11,35
"Lo sé, es tan, tan... ¿Te acuerdas de Tony DeMarco y de ti?",Monica Geller,1,1,11,36
Oh sí.,Rachel Green,1,1,11,37
"Bueno, es así. Con sentimientos.",Monica Geller,1,1,11,38
"Oh, vaya. ¿Estás en problemas?",Rachel Green,1,1,11,39
¡A lo grande!,Monica Geller,1,1,11,40
¿Quieres un vestido de novia? Apenas usado.,Rachel Green,1,1,11,41
"Creo que nos estamos adelantando un poco aquí. Bueno. Bueno. Simplemente voy a levantarme, ir a trabajar y no pensar en él en todo el día. O simplemente me levantaré e iré a trabajar.",Monica Geller,1,1,11,42
"¡Oh, mira, deséame suerte!",Rachel Green,1,1,11,43
¿Para qué?,Monica Geller,1,1,11,44
Voy a conseguir una de esas cosas de trabajo.,Rachel Green,1,1,11,45
(Mónica sale.),Scene Directions,1,1,11,46
¡Hola Mónica!,Franny,1,1,12,1
"Hola Frannie, ¡bienvenida de nuevo! ¿Cómo estuvo Florida?",Monica Geller,1,1,12,2
"Tuviste sexo, ¿no?",Franny,1,1,12,3
¿Cómo haces eso?,Monica Geller,1,1,12,4
"¡Oh, te odio, estoy empujando a mi tía Roz por Parrot Jungle y tú estás teniendo sexo! ¿Entonces? ¿OMS?",Franny,1,1,12,5
¿Conoces a Pablo?,Monica Geller,1,1,12,6
"¿Paul el chico del vino? Ah, sí, conozco a Paul.",Franny,1,1,12,7
¿Quieres decir que conoces a Paul como yo conozco a Paul?,Monica Geller,1,1,12,8
"¿Estás bromeando? Me atribuyo el mérito de Paul. Ya sabes, antes que yo, su tortuga no se mordió durante dos años.",Franny,1,1,12,9
¡Por supuesto que era una línea!,Joey Tribbiani,1,1,13,1
¡¿Por qué?! ¿Por qué? ¿Por qué alguien haría algo así?,Monica Geller,1,1,13,2
"Supongo que buscamos una respuesta más sofisticada que ""llevarte a la cama"".",Ross Geller,1,1,13,3
¡Odio a los hombres! ¡Odio a los hombres!,Monica Geller,1,1,13,4
"Oh no, no odies, no querrás publicar eso en el universo.",Phoebe Buffay,1,1,13,5
¿Soy yo? ¿Es como si tuviera una especie de faro que sólo los perros y los hombres con graves problemas emocionales pueden oír?,Monica Geller,1,1,13,6
"Muy bien, ven aquí, dame los pies.",Phoebe Buffay,1,1,13,7
"Simplemente pensé que era amable, ¿sabes?",Monica Geller,1,1,13,8
¡No puedo creer que no supieras que era una línea!,Joey Tribbiani,1,1,13,9
(Mónica lo empuja fuera del sofá mientras Rachel entra con una bolsa de compras.),Scene Directions,1,1,13,10
¿Adivina qué?,Rachel Green,1,1,13,11
¿Tienes trabajo?,Ross Geller,1,1,13,12
¿Estás bromeando? ¡Estoy entrenado para nada! Hoy se rieron de mí en doce entrevistas.,Rachel Green,1,1,13,13
"Y, sin embargo, eres sorprendentemente optimista.",Chandler Bing,1,1,13,14
"¡Tú también lo estarías si encontraras botas John and David en oferta, con un cincuenta por ciento de descuento!",Rachel Green,1,1,13,15
"Oh, qué bien me conoces...",Chandler Bing,1,1,13,16
"Son mis nuevas botas '¡No necesito un trabajo, no necesito a mis padres, tengo botas geniales!'",Rachel Green,1,1,13,17
¿Cómo pagaste por ellos?,Monica Geller,1,1,13,18
Tarjeta de crédito.,Rachel Green,1,1,13,19
¿Y quién paga por eso?,Monica Geller,1,1,13,20
Um... mi... padre.,Rachel Green,1,1,13,21
"Oh Dios, vamos chicos, ¿es esto realmente necesario? Quiero decir, puedo dejar de cargar cuando quiera.",Rachel Green,1,1,14,1
"Vamos, no puedes vivir de tus padres toda tu vida.",Monica Geller,1,1,14,2
Yo sé eso. Por eso me iba a casar.,Rachel Green,1,1,14,3
"Dale un respiro, es difícil estar solo por primera vez.",Phoebe Buffay,1,1,14,4
Gracias.,Rachel Green,1,1,14,5
"De nada. Recuerdo cuando llegué por primera vez a esta ciudad. Yo tenía catorce años. Mi mamá acababa de suicidarse y mi padrastro estaba nuevamente en prisión, y yo llegué aquí y no conocía a nadie. Y terminé viviendo con un tipo albino que estaba limpiando parabrisas afuera de la autoridad portuaria, y luego se suicidó, y luego encontré la aromaterapia. Créeme, sé exactamente cómo te sientes.",Phoebe Buffay,1,1,14,6
(Pausa),Scene Directions,1,1,14,7
La palabra que estás buscando es 'De todos modos'...,Ross Geller,1,1,14,8
"Muy bien, ¿estás listo?",Monica Geller,1,1,14,9
"No. No, no, ¡no estoy listo! ¿Cómo puedo estar listo? ""¡Oye, Rach! ¿Estás lista para saltar del avión sin tu paracaídas?"" ¡Vamos, no puedo hacer esto!",Rachel Green,1,1,14,10
"¡Puedes, sé que puedes!",Monica Geller,1,1,14,11
No me parece.,Rachel Green,1,1,14,12
"¡Vamos, hiciste café! ¡Puedes hacer cualquier cosa!",Ross Geller,1,1,14,13
"Vamos, corta. Cortar, cortar, cortar,...",Ross Geller,1,1,14,14
"Cortar, cortar, cortar, cortar, cortar, cortar, cortar...",#ALL#,1,1,14,15
¿Sabes qué? Creo que podemos dejarlo así. Es como un gesto simbólico...,Rachel Green,1,1,14,16
¡Raquel! ¡Esa era una tarjeta de biblioteca!,Monica Geller,1,1,14,17
"Cortar, cortar, cortar, cortar, cortar, cortar, cortar..",#ALL#,1,1,14,18
"Ya sabes, si escuchas atentamente, puedes oír gritar a miles de minoristas.",Chandler Bing,1,1,14,19
(Termina de cortarlos y todos aplauden.),Scene Directions,1,1,14,20
¡Bienvenido al mundo real! Apesta. ¡Te va a encantar!,Monica Geller,1,1,14,21
"[Time Lapse, Rachel y Ross están viendo un canal de televisión que termina su día de transmisión tocando el himno nacional.]",Scene Directions,1,1,14,22
"Bueno, eso es todo. ¿Te vas a quedar tirado en el sofá?",Monica Geller,1,1,14,23
"No. No, tengo que irme a casa algún día.",Ross Geller,1,1,14,24
¿Estás bien?,Monica Geller,1,1,14,25
Sí.,Ross Geller,1,1,14,26
"Hola Mon, mira lo que acabo de encontrar en el suelo. ¿Qué?",Rachel Green,1,1,14,27
Ese es el reloj de Paul. Simplemente lo devuelves donde lo encontraste. Oh chico. Está bien. Buenas noches a todos.,Monica Geller,1,1,14,28
Buenas noches.,,1,1,14,29
(Mónica pisotea el reloj de Paul y entra a su habitación.),Scene Directions,1,1,14,30
"Mmm. Oh, no-",Ross Geller,1,1,14,31
Lo siento-,Rachel Green,1,1,14,32
"No no no, ve-",Ross Geller,1,1,14,33
"No, lo tienes, de verdad, no lo quiero-",Rachel Green,1,1,14,34
